acquisition_key,collect_name,category,cphd_tx_time_span_s,sicd_processed_aperture_s,ocean_fraction,reference_class,station_id,station_distance_km,observation_offset_s,score,representative_ocean_point_clearance_m,centered_clearance_diameter_m,joint_directional_band_status,statistical_independence_demonstrated
collect:0965638a-a446-4fd7-afcd-7a4d96903af2,2024-10-22-22-04-46_UMBRA-09,B,16.664182288,13.069074825927965,0.859987023946115,model_only,48012,119.59181399751387,,68.23475479228671,1799.8974109513485,3599.794821902697,not_measured,False
collect:683a3778-7ef1-4653-bd9b-1777367585d5,2024-09-16-22-14-37_UMBRA-05,C,43.18645380266666,24.955108510644962,0.8573466517587613,model_only,48012,119.52169409177955,,0.0,1988.0597421130524,3976.1194842261048,not_measured,False
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,2025-12-02-16-00-55_UMBRA-07,C,17.163844698666665,11.889154387579627,1.0,measured_complete,42084,34.16387762090891,-55.5,0.0,2515.0588893532827,5030.117778706565,not_reproducible_from_archived_summary,False
collect:038615a1-9f6c-4ab5-ae73-704f2406ab8c,2023-07-02-02-01-27_UMBRA-05,C,,,0.9948005736185035,no_reference,,,,0.0,293.36309160472337,586.7261832094467,not_measured,False
collect:048762ec-0eb2-4aca-85aa-ee6ebed84a59,2025-07-21-07-16-35_UMBRA-05,C,,,1.0,no_reference,,,,0.0,2504.312826056706,5008.625652113412,not_measured,False
collect:05ae2840-c67e-4cb9-bc49-38bde47d6a4c,2023-07-13-15-18-26_UMBRA-04,C,,,1.0,no_reference,,,,0.0,2039.8353075487091,4079.6706150974182,not_measured,False
collect:0893694c-378d-4fc7-b611-bfe8b8ab3518,2023-07-02-01-57-51_UMBRA-04,C,,,0.9900992138201077,no_reference,,,,0.0,1940.4700276898986,3880.9400553797973,not_measured,False
collect:0912b3da-7b6f-40b6-bef1-8ab3bf95ac8e,2025-03-23-19-43-08_UMBRA-10,C,,,0.9965512825825497,no_reference,,,,0.0,2500.493985801128,5000.987971602256,not_measured,False
collect:163cc4a9-d0f7-4b63-b854-ac7db8da8b00,2025-07-29-20-24-23_UMBRA-10,C,,,1.0,no_reference,,,,0.0,2504.9246858862302,5009.8493717724605,not_measured,False
collect:16a40197-87f5-4632-bbca-5f2a4e64370f,2024-03-21-17-18-02_UMBRA-04,C,,,1.0,no_reference,,,,0.0,2496.946551820776,4993.893103641552,not_measured,False
collect:16cea013-0270-4443-a369-0bbdeb805712,2023-07-12-06-03-41_UMBRA-05,C,,,0.9999999999997256,no_reference,,,,0.0,2004.2531397297828,4008.5062794595656,not_measured,False
collect:2158e297-20ac-40dc-bc3f-f965844b080f,2023-07-29-12-49-18_UMBRA-04,C,,,0.9875259628046833,no_reference,,,,0.0,1980.124932229812,3960.249864459624,not_measured,False
collect:2332128e-9d79-48e6-a8bb-bb81c966f5f3,2023-02-17-14-50-21_UMBRA-04,C,,,1.0,no_reference,,,,0.0,2000.0863326117098,4000.1726652234197,not_measured,False
collect:29c91700-e9df-4bc6-8915-9764545d45f9,2023-11-15-12-06-17_UMBRA-04,C,,,0.9999999999998617,no_reference,,,,0.0,2061.385041905056,4122.770083810112,not_measured,False
collect:2d219983-fbcf-401b-b75d-8c6510a5fd48,2023-11-11-11-43-14_UMBRA-04,C,,,0.9999999999998789,no_reference,,,,0.0,2013.8447070503291,4027.6894141006583,not_measured,False
collect:32a894a3-7f0c-4bc6-8c5f-872d848cd102,2024-03-20-02-09-59_UMBRA-05,C,,,1.0,no_reference,,,,0.0,2499.4303265760923,4998.860653152185,not_measured,False
collect:3b3dacf3-bf90-4a41-8507-4a605b095be4,2023-11-15-11-39-44_UMBRA-05,C,,,0.999999999999863,no_reference,,,,0.0,1999.9007536004349,3999.8015072008698,not_measured,False
collect:3e4e9adf-e715-44d0-a257-df33605c1a26,2023-08-26-02-21-58_UMBRA-05,C,,,0.9387905055045643,no_reference,,,,0.0,1271.8852198484808,2543.7704396969616,not_measured,False
collect:57b7728b-50b3-4afe-b16d-86afd9db535e,2023-09-10-02-03-26_UMBRA-04,C,,,0.9999999999997248,no_reference,,,,0.0,2016.7947938586576,4033.589587717315,not_measured,False
collect:60489177-d2f3-415e-be82-b8e73cfd159e,2023-08-11-16-12-13_UMBRA-05,C,,,0.9232167006989238,no_reference,,,,0.0,1510.4999852690878,3020.9999705381756,not_measured,False
collect:6239757c-59ce-4dcc-b2fd-6f6ff222875c,2023-11-10-10-54-08_UMBRA-04,C,,,1.0,no_reference,,,,0.0,1999.7080845002765,3999.416169000553,not_measured,False
collect:73e67182-3a01-4000-97bd-f52bca17c6bf,2023-07-23-14-02-53_UMBRA-05,C,,,1.0,no_reference,,,,0.0,1999.827898770063,3999.655797540126,not_measured,False
collect:79764a75-8ede-4b0e-9fd1-debb8622eac8,2026-03-01-05-57-19_UMBRA-07,C,,,1.0,no_reference,,,,0.0,2495.8095723689635,4991.619144737927,not_measured,False
collect:7bd2b0b8-8553-437b-b887-f7da1d5e1bf4,2024-03-27-02-00-07_UMBRA-04,C,,,0.8726880269268203,no_reference,,,,0.0,1412.7101154269847,2825.4202308539693,not_measured,False
collect:835464df-528f-48a4-90a4-18fda88079b2,2025-11-07-02-21-55_UMBRA-07,C,,,0.9518811747797393,no_reference,,,,0.0,1790.3298664668723,3580.6597329337446,not_measured,False
collect:84dfa115-4b84-4cfa-b6c7-552508c56ee3,2025-10-30-08-19-58_UMBRA-08,C,,,1.0,no_reference,,,,0.0,2496.3205779747454,4992.641155949491,not_measured,False
collect:854a37f8-ff30-4646-84e3-f4dc2151855e,2023-10-30-04-51-18_UMBRA-05,C,,,1.0,no_reference,,,,0.0,2000.1235534455516,4000.247106891103,not_measured,False
collect:a4d930dd-b1b1-49a4-a2ed-4fd68d89a716,2025-10-26-18-49-10_UMBRA-05,C,,,0.9957798910834382,no_reference,,,,0.0,2501.0577766097167,5002.115553219433,not_measured,False
