acquisition_key,metric,block16a_value,block18_value,difference,cause,payload_equivalence
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,hm0_m,0.6931493345592997,0.6931493345592997,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_period_s,4.651162790697675,4.651162790697675,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_frequency_hz,0.215,0.215,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,long_energy_fraction_f_le_0p1,0.0,0.0,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_alpha1_from_deg,148.0,148.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_alpha2_deg,148.0,148.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_r1,0.95,0.95,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,peak_r2,0.84,0.84,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,hm0_m,0.29209587467131404,0.2920958746713141,5.551115123125783e-17,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_period_s,7.142857142857142,7.142857142857142,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_frequency_hz,0.14,0.14,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,long_energy_fraction_f_le_0p1,0.0014064697609001418,0.001875293014533522,0.0004688232536333803,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_alpha1_from_deg,184.0,184.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_alpha2_deg,188.0,188.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_r1,0.9,0.9,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,peak_r2,0.65,0.65,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,hm0_m,0.7903720642836511,0.7903720642836511,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_period_s,6.25,6.25,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_frequency_hz,0.16,0.16,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,long_energy_fraction_f_le_0p1,0.0,0.0,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_alpha1_from_deg,140.0,140.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_alpha2_deg,140.0,140.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_r1,0.98,0.98,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,peak_r2,0.92,0.92,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,hm0_m,1.0085316058508034,1.0085316058508034,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_period_s,4.25531914893617,4.25531914893617,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_frequency_hz,0.235,0.235,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,long_energy_fraction_f_le_0p1,0.0,0.0,0.0,band_width_sum_replaces_trapezoid,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_alpha1_from_deg,320.0,320.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_alpha2_deg,324.0,324.0,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_r1,0.91,0.91,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,peak_r2,0.74,0.74,0.0,same_peak_parser_and_current_payload,local_original_found_and_remote_hash_identical
