acquisition_key,bin_index,frequency_hz,band_width_hz,spectral_wave_density,valid_spectral_wave_density,mean_wave_dir,valid_mean_wave_dir,principal_wave_dir,valid_principal_wave_dir,wave_spectrum_r1,valid_wave_spectrum_r1,wave_spectrum_r2,valid_wave_spectrum_r2,valid_joint
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,0,0.025,0.0049999999999999975,0.0,True,124.0,True,84.0,True,0.36,True,0.2,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,1,0.03,0.005000000000000001,0.0,True,148.0,True,156.0,True,0.55,True,0.26,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,2,0.035,0.0050000000000000044,0.0,True,148.0,True,144.0,True,0.65,True,0.46,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,3,0.04,0.0049999999999999906,0.0,True,140.0,True,132.0,True,0.57,True,0.64,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,4,0.045,0.0050000000000000044,0.0,True,144.0,True,140.0,True,0.58,True,0.52,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,5,0.05,0.0050000000000000044,0.0,True,156.0,True,160.0,True,0.5,True,0.23,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,6,0.055,0.0049999999999999906,0.0,True,168.0,True,180.0,True,0.5,True,0.3,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,7,0.06,0.0050000000000000044,0.0,True,144.0,True,156.0,True,0.5,True,0.25,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,8,0.065,0.0050000000000000044,0.0,True,128.0,True,132.0,True,0.57,True,0.49,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,9,0.07,0.0050000000000000044,0.0,True,136.0,True,140.0,True,0.71,True,0.67,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,10,0.075,0.0049999999999999906,0.0,True,148.0,True,140.0,True,0.63,True,0.7,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,11,0.08,0.0050000000000000044,0.0,True,160.0,True,148.0,True,0.61,True,0.66,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,12,0.085,0.0049999999999999906,0.0,True,152.0,True,144.0,True,0.65,True,0.71,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,13,0.09,0.0050000000000000044,0.0,True,152.0,True,144.0,True,0.49,True,0.53,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,14,0.095,0.0050000000000000044,0.0,True,144.0,True,136.0,True,0.42,True,0.42,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,15,0.1,0.0050000000000000044,0.0,True,160.0,True,124.0,True,0.29,True,0.56,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,16,0.105,0.0049999999999999906,0.0,True,160.0,True,136.0,True,0.46,True,0.63,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,17,0.11,0.0050000000000000044,0.0,True,156.0,True,140.0,True,0.51,True,0.68,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,18,0.115,0.0049999999999999906,0.0,True,156.0,True,144.0,True,0.49,True,0.63,True,True
