collect_name,collect_id,acquisition_key,datetime_utc,station_id,station_km,water_body,current_risk,gebco_depth_m,ocean_fraction,coast_status,coast_distance_m,roi_m,roi_lat,roi_lon,duration_s,incidence_deg,view_azimuth_deg,local_range_axis_deg,sicd_bytes,cphd_bytes,min_complex_GB
2026-05-29-05-11-12_UMBRA-10,81446cc4-9d69-485d-878e-13aac1e8e52e,collect:81446cc4-9d69-485d-878e-13aac1e8e52e,2026-05-29T05:11:12Z,42094,13.078653900563983,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,29.000002051307778,-89.99999217435385,8.0,37.780419476904775,218.1917509864643,38.191750986464314,15460941964.0,,15.460941964
2026-02-18-04-59-34_UMBRA-09,2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,2026-02-18T04:59:34.100000Z,42094,13.079229750910942,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,29.000001239533933,-89.99999977296287,16.2,34.14984166998885,223.69961168475578,43.69961168475578,17036852486.0,70640038976.0,17.036852486
2025-12-02-16-00-55_UMBRA-07,ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,2025-12-02T16:00:55.500000Z,42094,13.07928819625449,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,29.00000018856316,-89.99999938551487,17.0,33.16251513443365,317.6687650988641,137.66876509886413,17007018143.0,74483823488.0,17.007018143
2026-02-13-17-39-24_UMBRA-10,42ed53c6-5dea-4fb1-9405-d72147bf1aaa,collect:42ed53c6-5dea-4fb1-9405-d72147bf1aaa,2026-02-13T17:39:24.900000Z,42094,13.079414982871885,"piattaforma aperta, delta del Mississippi",basso,-24.0,0.9999999999999999,lower_bound_beyond_footprint,,1500.0,28.999997934314642,-89.99999857564703,11.8,39.85424359134119,276.2767919839221,96.27679198392212,12298492462.0,51002135296.0,12.298492462
2026-02-02-05-02-56_UMBRA-09,2ce7c5b9-895b-4ebf-9102-08bac7d047ad,collect:2ce7c5b9-895b-4ebf-9102-08bac7d047ad,2026-02-02T05:02:56.800000Z,42094,13.079454955464222,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,29.000000836413374,-90.00000264211648,13.600001,40.25779539095382,241.01882811363956,61.01882811363956,13738526686.0,56028269312.0,13.738526686
2026-02-22-02-52-01_UMBRA-07,22f524ef-f2cf-4779-af07-f9f263b3b40b,collect:22f524ef-f2cf-4779-af07-f9f263b3b40b,2026-02-22T02:52:01Z,42094,13.079632035655328,"piattaforma aperta, delta del Mississippi",basso,-24.0,0.9999999999999999,lower_bound_beyond_footprint,,1500.0,28.99999680693393,-90.00000045714347,14.0,40.33370528312537,94.54660527112567,274.54660527112566,13629492471.0,57334732720.0,13.629492471
2025-12-23-02-59-26_UMBRA-07,9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,2025-12-23T02:59:26.600000Z,42094,13.079646510532477,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.999996271159848,-90.00000003161858,15.2,39.386032821323056,102.64847563723981,282.6484756372398,14842492698.0,62404437520.0,14.842492698
2026-03-14-04-37-20_UMBRA-09,98fe2c0f-44e9-41bd-bec6-af02b11f13a0,collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,2026-03-14T04:37:20.600000Z,42094,13.079657355244198,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.99999604636175,-89.99999992408475,15.2,38.986658970316846,106.49494101375379,286.49494101375376,15524836507.0,62359429440.0,15.524836507
2026-03-17-17-09-43_UMBRA-10,48f9db75-e2ef-472d-b4d3-fa7f7efdd8ee,collect:48f9db75-e2ef-472d-b4d3-fa7f7efdd8ee,2026-03-17T17:09:43.500000Z,42094,13.079677987491568,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,28.999996765477434,-90.00000109139964,13.0,40.67999501197372,86.19623333190299,266.196233331903,13040871033.0,53252643392.0,13.040871033
2026-03-24-17-10-38_UMBRA-09,b5be9f00-5c72-405e-9500-8937f267b3c4,collect:b5be9f00-5c72-405e-9500-8937f267b3c4,2026-03-24T17:10:38.500000Z,42094,13.079704493876777,"piattaforma aperta, delta del Mississippi",basso,-24.0,0.9999999999999999,lower_bound_beyond_footprint,,1500.0,28.999996555547508,-90.00000123473035,13.0,40.51022701906413,83.96514193518325,263.9651419351833,13310052447.0,,13.310052447
2025-12-18-17-02-13_UMBRA-10,e19b2547-1d76-4230-b4b0-0ac1c2cc21eb,collect:e19b2547-1d76-4230-b4b0-0ac1c2cc21eb,2025-12-18T17:02:13.600000Z,42094,13.079709704153261,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.999996513101973,-90.0000012614925,13.2,37.87601956963702,83.508900760628,263.50890076062797,13523844366.0,56256373888.0,13.523844366
2025-12-10-15-32-31_UMBRA-07,44024ec9-d729-4a07-b369-129aa5f748c4,collect:44024ec9-d729-4a07-b369-129aa5f748c4,2025-12-10T15:32:31.100000Z,42094,13.079746724789546,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.999996197758826,-90.00000143519168,14.2,40.18729681041993,80.0463911398914,260.0463911398914,13799840529.0,,13.799840529
