acq_utc,sensore,product_id,node,inc_deg,delta_az_nominale_m,Hs_m,Tp_s,L_17m_m,steepness_HL,phi_k_range_deg,dphi_deg,dphi_wrap,cutoff_margin,offshore_extent_km,sea_area_km2,fom_dphi_sqrtA,wr17m_in,riferimento_stale,passa_tutti_i_gate
2020-11-10 11:15:43,TSX/TDX Staring,XXXXB00000000563118922512,DESCENDING,26.41,0.24,0.833,7.394,76.6,0.0109,7.8,154.0,False,7.53,3.78,11.2,514,False,False,True
2020-09-07 22:51:35,TSX/TDX Staring,XXXXB00000000555325955346,ASCENDING,23.25,0.24,1.266,7.843,83.6,0.0151,0.3,141.0,False,136.79,4.03,11.9,486,True,False,True
2023-11-06 22:51:53,TSX/TDX Staring,XXXXB00000000657621626817,ASCENDING,23.25,0.24,0.922,8.032,86.6,0.0106,0.4,138.0,False,182.88,4.13,12.2,482,True,False,True
2020-09-09 10:42:54,CSK Spotlight-2,1443707,ASCENDING,34.61,1.0,1.161,5.495,46.4,0.025,0.7,64.0,False,24.49,5.41,55.7,478,True,False,True
2020-09-08 10:54:54,CSK Spotlight-2,1442832,ASCENDING,50.59,1.0,1.02,7.273,74.7,0.0137,1.8,61.0,False,22.95,5.49,56.5,459,True,False,True
2021-10-13 23:00:15,TSX/TDX Staring,XXXXB00000000589635302831,ASCENDING,40.36,0.24,1.108,9.547,109.6,0.0101,21.0,138.0,False,4.04,2.98,8.8,409,False,False,True
2021-04-21 10:42:51,CSK Spotlight-2,1817405,ASCENDING,34.67,1.0,0.52,6.568,63.5,0.0082,21.8,54.0,False,2.74,5.3,54.6,399,True,False,True
2020-09-08 22:44:52,CSK Spotlight-2,1443251,DESCENDING,47.75,1.0,1.062,4.957,38.1,0.0279,23.8,85.0,False,0.58,9.76,100.5,852,True,False,False
2020-10-08 22:56:58,CSK Spotlight-2,1504216,DESCENDING,30.44,1.0,0.681,4.745,35.0,0.0195,66.6,72.0,False,0.34,7.89,81.3,649,True,False,False
2021-04-22 22:50:52,CSK Spotlight-2,1822894,DESCENDING,39.98,1.0,0.595,5.249,42.6,0.014,83.8,72.0,False,0.48,7.8,80.3,645,True,False,False
2020-12-10 22:56:54,CSK Spotlight-2,1651720,DESCENDING,30.48,1.0,0.813,5.642,48.7,0.0167,54.4,61.0,False,0.52,7.86,81.0,549,True,False,False
2021-04-22 10:42:49,CSK Spotlight-2,1821124,ASCENDING,34.62,1.0,1.444,5.908,52.9,0.0273,64.9,60.0,False,0.3,5.65,58.2,458,True,False,False
2021-04-20 23:00:07,TSX/TDX Staring,XXXXB00000000573568201727,ASCENDING,40.36,0.24,0.639,8.547,94.5,0.0068,27.1,154.0,False,4.26,2.9,8.6,450,False,False,False
2021-07-01 10:54:54,CSK Spotlight-2,1942002,ASCENDING,50.63,1.0,0.393,7.533,78.8,0.005,50.7,59.0,False,2.58,5.63,58.0,449,True,False,False
2021-10-12 11:07:16,TSX/TDX Staring,XXXXB00000000589635259468,DESCENDING,42.64,0.24,1.457,9.191,104.3,0.014,49.5,147.0,False,1.33,3.15,9.3,448,False,False,False
2021-10-13 22:45:03,CSK Spotlight-2,2098202,DESCENDING,47.72,1.0,1.108,9.547,109.6,0.0101,40.2,44.0,False,1.91,9.59,98.8,437,True,False,False
2020-11-13 10:42:51,CSK Spotlight-2,1598376,ASCENDING,34.51,1.0,1.403,6.088,55.8,0.0251,17.4,58.0,False,1.03,5.45,56.1,435,True,False,False
2020-10-08 11:15:42,TSX/TDX Staring,XXXXB00000000555326501192,DESCENDING,26.41,0.24,0.5,9.276,105.5,0.0047,58.3,123.0,False,3.48,3.75,11.1,409,False,False,False
2021-06-30 10:54:50,CSK Spotlight-2,1942455,ASCENDING,50.58,1.0,0.475,8.214,89.4,0.0053,43.7,54.0,False,2.95,5.46,56.2,405,True,True,False
2020-12-09 23:00:08,TSX/TDX Staring,XXXXB00000000563119448418,ASCENDING,40.36,0.24,0.515,11.08,132.1,0.0039,0.9,119.0,False,293.16,3.86,11.4,402,True,False,False
2021-06-29 22:56:51,CSK Spotlight-2,1941935,DESCENDING,30.56,1.0,0.475,8.214,89.4,0.0053,23.7,42.0,False,4.85,7.72,79.5,375,True,True,False
2020-09-11 22:50:52,CSK Spotlight-2,1445895,DESCENDING,40.12,1.0,0.922,9.975,115.9,0.008,30.8,38.0,False,3.15,7.63,78.6,337,True,False,False
2020-12-11 22:56:54,CSK Spotlight-2,1652288,DESCENDING,30.48,1.0,0.42,9.828,113.8,0.0037,11.4,35.0,False,16.94,7.68,79.1,311,True,False,False
2020-10-09 10:36:55,CSK Spotlight-2,1505527,ASCENDING,23.75,1.0,0.948,5.495,46.4,0.0204,41.2,59.0,False,0.51,2.53,26.1,301,False,False,False
2019-10-02 10:43:03,CSK Spotlight-2,1157279,ASCENDING,34.7,1.0,1.373,13.514,166.9,0.0082,13.9,26.0,False,8.69,6.05,62.3,205,True,False,False
2020-11-10 10:36:52,CSK Spotlight-2,1589659,ASCENDING,23.72,1.0,0.844,10.256,120.1,0.007,30.6,32.0,False,3.6,3.19,32.9,183,False,False,False
2020-09-11 11:07:08,TSX/TDX Staring,XXXXB00000000555326017173,DESCENDING,42.64,0.24,0.938,7.194,73.5,0.0128,7.2,188.0,True,6.96,3.19,9.4,0,False,False,False
2020-11-12 22:51:36,TSX/TDX Staring,XXXXB00000000563118981344,ASCENDING,23.25,0.24,1.277,5.355,44.2,0.0289,20.7,207.0,True,0.79,4.5,13.3,0,False,False,False
2021-01-21 11:07:06,TSX/TDX Staring,XXXXB00000000563120192176,DESCENDING,42.64,0.24,0.463,6.678,65.3,0.0071,26.7,203.0,True,3.24,2.99,8.8,0,False,True,False
