acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status,spectral_status,spectral_valid_bin_fraction
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,next_qc,2021-10-14T00:00:00+00:00,1634169600.0,seconds since 1970-01-01 00:00:00,3584.3310000896454,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/6,618,position_42bb911ade6d72f5b119f2d7,retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,1.1081544,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,1.1081544,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,m,1.1369343,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m,1.1081544,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,9.546539,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,9.546539,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,s,9.501187,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,9.546539,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,6.7565265,waves__waverider-17m__4e2d54ee6b11/variables/waveTm/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,6.7565265,waves__waverider-17m__4e2d54ee6b11/variables/waveTm/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,s,7.0345373,waves__waverider-17m__4e2d54ee6b11/variables/waveTm/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,6.7565265,waves__waverider-17m__4e2d54ee6b11/variables/waveTm/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm1,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,5.513346,waves__waverider-17m__4e2d54ee6b11/variables/waveTm1/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm1,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,5.513346,waves__waverider-17m__4e2d54ee6b11/variables/waveTm1/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm1,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,s,5.7599554,waves__waverider-17m__4e2d54ee6b11/variables/waveTm1/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm1,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,5.513346,waves__waverider-17m__4e2d54ee6b11/variables/waveTm1/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 1st moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm2,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,4.91854,waves__waverider-17m__4e2d54ee6b11/variables/waveTm2/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
