position_id,instrument_id,family,product,sensor_time_utc,original_sample_index,effective_sensor_id,deployment_status,deployment_start,deployment_end,position_status,lon_lat_json,position_uncertain,position_discrepancy_m,footprint_status,footprint_center_m,footprint_minimum_m,footprint_inside,footprint_bearing_deg,footprint_method,footprint_center_definition,roi_status,roi_center_m,roi_minimum_m,roi_inside,roi_bearing_deg
position_8be944c3806ef632394925d3,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,2021-10-13T23:00:00.000003+00:00,616,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-22T18:24:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.714, 36.199666666666666]",True,24.45847969096893,computed_conditioned_on_historical_position_position_uncertain,3706.5705150594986,690.3465369030282,False,239.36963835911007,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_42bb911ade6d72f5b119f2d7,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,2021-10-14T00:00:00+00:00,618,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-22T18:24:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.714, 36.199666666666666]",True,24.45847969096893,computed_conditioned_on_historical_position_position_uncertain,3706.5705150594986,690.3465369030282,False,239.36963835911007,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_5bce09b36faf58300d314da1,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,2021-10-13T23:29:59.999997+00:00,617,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-22T18:24:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.714, 36.199666666666666]",True,24.45847969096893,computed_conditioned_on_historical_position_position_uncertain,3706.5705150594986,690.3465369030282,False,239.36963835911007,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_8ab2cd9da4a7c4fb6be74309,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,2021-10-13T23:00:00.000003+00:00,311,Bottom Mounted Senso-Metric Pressure Sensors,within_supplied_bounds_not_complete_history,1991-01-01T00:00:00Z,,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,null,True,11469055.597433766,not_evaluable,,,,,,,not_evaluable,,,,
position_a45363006abd86493b1829f6,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,2021-10-13T21:59:59.999997+00:00,310,Bottom Mounted Senso-Metric Pressure Sensors,within_supplied_bounds_not_complete_history,1991-01-01T00:00:00Z,,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,null,True,11469055.597433766,not_evaluable,,,,,,,not_evaluable,,,,
position_3ab0c95855fb41821ee0056a,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,2021-10-14T00:00:00+00:00,312,Bottom Mounted Senso-Metric Pressure Sensors,within_supplied_bounds_not_complete_history,1991-01-01T00:00:00Z,,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,null,True,11469055.597433766,not_evaluable,,,,,,,not_evaluable,,,,
position_f52d839deb4f5b67d066ff9b,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,2021-10-13T23:00:00.000003+00:00,574,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-23T07:55:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.59216666666667, 36.25866666666667]",True,133.19660381917367,computed_conditioned_on_historical_position_position_uncertain,16467.05410271075,13339.192317030245,False,239.23002646220584,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_c8bc7172913200f1fb40d888,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,2021-10-14T00:00:00+00:00,576,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-23T07:55:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.59216666666667, 36.25866666666667]",True,133.19660381917367,computed_conditioned_on_historical_position_position_uncertain,16467.05410271075,13339.192317030245,False,239.23002646220584,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_9de4617dee63ece679d20129,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,2021-10-13T23:29:59.999997+00:00,575,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-23T07:55:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.59216666666667, 36.25866666666667]",True,133.19660381917367,computed_conditioned_on_historical_position_position_uncertain,16467.05410271075,13339.192317030245,False,239.23002646220584,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_21401612f26cf336ea2911b0,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,2021-10-13T23:00:00.500001+00:00,307,Nortek AWAC,within_supplied_bounds_not_complete_history,2015-09-18T22:00:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.739155, 36.189244]",True,46.1136501252114,computed_conditioned_on_historical_position_position_uncertain,1181.1393091121724,0.0,True,231.67216915298044,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
