bin,partition,fold,gain,M0_s,M0_a,M0_c,M0_offset_ratio,M0_test_nmse,M0_ambiguous,M0_boundary,M1_s,M1_a,M1_c,M1_offset_ratio,M1_test_nmse,M1_ambiguous,M1_boundary
"133,65",primary,0,0.3246504143404211,0.38777491454619983,"[-374.3327805641844, 1298.6334702362992]","[0.0, 0.0]",0.0,0.6056453205846578,False,False,0.41654358515415724,"[-282.74957225601014, 1350.55329842595]","[-317.49655493024784, 305.22922142611947]",0.31918266197887196,0.40902231631351155,False,False
"133,65",primary,1,0.2261605854674703,0.412722934017227,"[-163.08210247983968, 1112.8046620858559]","[0.0, 0.0]",0.0,0.15171519121294164,False,False,0.39858634642383073,"[-396.06220269426893, 1145.3591084008103]","[-340.62831473747514, 301.70545651536133]",0.37546823589898703,0.11740319474391354,False,False
"133,65",primary,2,0.43376345291618235,0.40994497454611,"[-245.29490194145126, 1048.5150804203452]","[0.0, 0.0]",0.0,0.14887423047903703,False,False,0.39988447516162307,"[-181.99708527003156, 1235.9441987371918]","[-108.75905079375579, 396.48645951703617]",0.32909772498044965,0.08429803021621037,False,False
"133,65",primary,3,0.45839615167006376,0.40854270047917746,"[-308.43674468632764, 1289.0439641980784]","[0.0, 0.0]",0.0,0.3525746735329238,False,False,0.4155743030034709,"[-361.2554902623259, 1286.1218301780086]","[-133.02044113377693, 349.4180599857352]",0.2798735044911385,0.19095580000910245,False,False
"133,65",alternative,0,0.1122426505573152,0.39033916417758746,"[-352.3084920521558, 1272.024753999033]","[0.0, 0.0]",0.0,0.9327071710021533,False,False,0.4131346684918346,"[-300.8228363589385, 1344.2232529715902]","[-301.3439987447593, 309.6844165613396]",0.3136923454612701,0.8280176459350567,False,False
"133,65",alternative,1,0.8288857413248856,0.39952624232756834,"[-310.83543796591306, 1277.68538026802]","[0.0, 0.0]",0.0,0.20846654499155665,False,False,0.4002985276601228,"[-345.5892414941295, 1271.5816184026905]","[-219.31486372705712, 339.98403943538574]",0.307036336862373,0.03567159830479261,False,False
"133,65",alternative,2,-0.5061371032782005,0.41393387408286203,"[-182.6796974541721, 1182.0059464410504]","[0.0, 0.0]",0.0,0.08380081053959446,False,False,0.3972164867498577,"[-387.9335709562099, 1182.382251977147]","[-303.25756733259914, 352.94901605819524]",0.3739459011924695,0.1262155100384701,False,False
"133,65",alternative,3,0.5319568867530419,0.4102581072696987,"[-143.6493257305822, 1056.4953063001894]","[0.0, 0.0]",0.0,0.20662689023983524,False,False,0.40214325820909935,"[-336.91851699822803, 1144.6666354345793]","[-287.2310589007671, 255.9188442361434]",0.3224069431411905,0.09671029298839,False,False
"133,65",alternative,4,0.6259841066937881,0.40656673369455004,"[-196.24587824976405, 1027.3501738357968]","[0.0, 0.0]",0.0,0.18615266050201823,False,False,0.4021931330348287,"[-212.21413061938483, 1219.2731056463288]","[-128.28041628155847, 336.82477257235666]",0.2912289186129899,0.06962405360899034,False,False
"133,65",alternative,5,0.5635368206253109,0.4177947694217062,"[-319.99964132437333, 1075.039706609574]","[0.0, 0.0]",0.0,0.14188472488956622,False,False,0.40036415710924117,"[-222.5740862304231, 1218.9973609051724]","[-146.8584846543029, 397.2732051121983]",0.3418056327307034,0.06192745813000316,False,False
"133,65",alternative,6,0.7812907885314377,0.4222143959499606,"[-366.0748981989007, 1210.8564231249582]","[0.0, 0.0]",0.0,0.26898506601693567,False,False,0.40887108827514207,"[-320.81732430517366, 1238.6600713402013]","[-169.77888608999075, 342.02962981791154]",0.29842909900304887,0.05882951168538316,False,False
"133,65",alternative,7,0.6388909316209725,0.401554421177095,"[-270.9644655749989, 1293.365047806931]","[0.0, 0.0]",0.0,0.8724960050517733,False,False,0.4094602854347501,"[-335.10095703950986, 1304.0376660468523]","[-161.6163168988072, 329.8412593556442]",0.2728063613356804,0.31506621954866904,False,False
"129,62",primary,0,0.039978070419043665,0.5382967843102053,"[662.8437569740543, 134.01587913585342]","[0.0, 0.0]",0.0,3.330177650747397,False,False,0.5385007711265156,"[662.9697198823646, 124.65674817965544]","[40.9557080554554, -1.8801098874319921]",0.060776171785037074,3.1970435741178918,False,False
"129,62",primary,1,-0.4275391301220537,0.5547450128796806,"[543.2264606167458, 52.62737520499936]","[0.0, 0.0]",0.0,0.16824643775367842,False,False,0.5629560636274884,"[565.3187905034233, 28.980911457874907]","[-42.38883855803584, -97.48105431302746]",0.18778623551703774,0.24017837339702033,False,False
"129,62",primary,2,-1.1367008802829606,0.5464735495450895,"[493.62238780301044, 93.95874783448343]","[0.0, 0.0]",0.0,0.14875180975573798,False,False,0.5452478982843754,"[461.1013473436306, 75.94447028891922]","[60.07989069226957, -158.39916351572919]",0.3625197471898419,0.31783812284876883,False,False
"129,62",primary,3,0.2172354714321193,0.545192631074816,"[522.2705042086652, 78.20694444877795]","[0.0, 0.0]",0.0,0.12252278546442678,False,False,0.5415051085857409,"[534.382867568683, 89.83367186396576]","[61.552450989620645, -52.53046214219324]",0.1493328726586235,0.09590649040288562,False,False
"129,62",alternative,0,-0.05307639373586581,0.538787302919953,"[640.5712758054987, 127.85552409313013]","[0.0, 0.0]",0.0,9.246784039390073,False,False,0.5389079699048305,"[643.865235732069, 115.98078870310319]","[60.25249695899852, -9.564949823199935]",0.09325036700791492,9.737569989855261,False,False
"129,62",alternative,1,0.06650549321221744,0.5423279334363104,"[636.9231039002623, 115.10845956482578]","[0.0, 0.0]",0.0,1.3050361098635677,False,False,0.5374847440227724,"[628.0032977784912, 132.0664437444022]","[-0.4383804477696778, -51.487007614410615]",0.08023328389882126,1.2182440397173373,False,False
"129,62",alternative,2,-0.2460149265123439,0.557008687302252,"[582.2062600832845, 51.23165369563424]","[0.0, 0.0]",0.0,0.3004749781853827,False,False,0.5546154779684546,"[599.261053709812, 67.26698874505325]","[-18.753770373121142, -96.90010968788295]",0.1636719360495095,0.37439630786245776,False,False
"129,62",alternative,3,-0.21583156942234294,0.5503751201530332,"[523.0409672302112, 70.77061880482312]","[0.0, 0.0]",0.0,0.13345415247787687,False,False,0.5604851804610416,"[534.1319522466738, 33.06876216417908]","[-36.83174922219353, -100.21460304842668]",0.19950990172902425,0.16225777165310568,False,False
