look,pulses,tx_time_mean_s,tx_time_min_s,tx_time_max_s,slant_range_mean_m,slant_range_min_m,slant_range_max_m,slant_range_ptp_m,speed_mean_m_s,speed_min_m_s,speed_max_m_s,speed_ptp_m_s,R_over_V_mean_s,R_over_V_ptp_s,incidence_mean_deg,incidence_min_deg,incidence_max_deg,incidence_ptp_deg,view_azimuth_mean_deg,flight_azimuth_mean_deg,squint_mean_deg,squint_min_deg,squint_max_deg,squint_ptp_deg,k_los_mean_rad_m,k_flight_mean_rad_m,k_axis0_rad_m,k_axis1_rad_m
0,5240,0.35534731021679394,0.0029798746666666667,0.7073295973333333,614530.3615022905,614266.4385547519,614801.714955309,535.2764005571371,7657.6011615336465,7657.595063313088,7657.607253030629,0.012189717541332357,80.25102752288748,0.07002905465704146,22.81428561037135,22.75075011027907,22.87948892270085,0.12873881242177768,85.18322941288399,191.11349576205055,105.93026634188661,105.3081902985462,106.55044384340916,1.242253544862962,-0.04787786772276665,0.016371960943550427,-0.04799655442984407,0.0
1,5246,1.0594467117244886,0.7074637786666667,1.4117662693333333,614016.7123281172,613774.00820732,614266.3406665835,492.33245926350355,7657.613346374845,7657.607257244296,7657.619437652127,0.012180407830783224,80.18382289883867,0.06442074234516326,22.69042396263279,22.631700358919176,22.75072650229849,0.11902614337931533,86.43742570729691,191.11829553985922,104.6808698221183,104.05076146394866,105.30795218995317,1.257190726004499,-0.04779283720531511,0.01637574050249781,-0.04799655442984407,0.0
2,5253,1.764063059292087,1.411900344,2.116071096,613545.6632319532,613324.6767061559,613773.9185750631,449.2418689072365,7657.625528622679,7657.619443419024,7657.631610104497,0.012166685472948302,80.12218160816336,0.05879325053069806,22.576289747342017,22.522594592914654,22.631678638218894,0.10908404530424103,87.7070889715078,191.1230951469785,103.41600616799725,102.77951510175586,104.05052076267374,1.271005660917878,-0.047683432836064146,0.01637951981211268,-0.04799655442984407,0.0
3,5260,2.4684216667974654,2.116205074666667,2.820561794666667,613117.8513050101,612918.3415259684,613324.5953277309,406.25380176247563,7657.637694819336,7657.631614331553,7657.643772800263,0.012158468710367742,80.06618696177239,0.053179213454939145,22.47222490765855,22.423589544099286,22.52257479492421,0.09898525082492306,88.989824536358,191.12788930914738,102.13806476461181,101.49491993578874,102.77927201153611,1.2843520757473565,-0.0475491271335641,0.016383294719519596,-0.04799655442984407,0.0
4,5262,3.172825122794375,2.8206956880000003,3.5248865253333337,612733.1633534748,612555.2937634022,612918.2684032319,362.97463982971385,7657.649850161104,7657.643775468855,7657.655920184723,0.012144715868089406,80.0158240963064,0.0475271685502463,22.37837716946619,22.334924336535327,22.423571702662034,0.08864736612670943,90.28509625385797,191.13268009093116,100.84758382951642,100.19873424287071,101.4946745858497,1.2959403429789793,-0.047389329579648705,0.016387066850642285,-0.04799655442984407,0.0
5,5266,3.8772216143410563,3.5250203386666668,4.229363250666666,612391.7159079117,612235.44564422,612555.2288969341,319.7832527140854,7657.6619936765555,7657.655922457076,7657.668059917793,0.012137460716985515,79.97110821240018,0.04188666266648511,22.294935920124917,22.256731130579936,22.33490848247874,0.07817735189880308,91.59165799227208,191.137467143559,99.54580914442349,98.89156050939654,100.1984869338273,1.3069264244307632,-0.04720360494236906,0.016390835931089042,-0.04799655442984407,0.0
6,5268,4.58166149264895,4.2294969946666665,4.933774808,612093.5580666116,611958.972132611,612235.389035296,276.4169026850723,7657.674126285945,7657.668062885517,7657.68018596134,0.012123075822273677,79.93204568501204,0.03622326128845543,22.222058906723973,22.189190421269075,22.256717291935825,0.06752687066675216,92.90838353138714,191.14225081287634,98.23386727540904,97.57505111037769,98.89131138858758,1.316260278209901,-0.04699160596710476,0.016394602233396977,-0.04799655442984407,0.0
7,5237,5.28587569742117,4.933908498666667,5.638038274666666,611838.8507351486,611725.9453297328,611958.9237782701,232.97844853729475,7657.686243307273,7657.680188273267,7657.692302929811,0.012114656544326863,79.89865754825344,0.03055053334624347,22.159914751310698,22.132440568932655,22.1891786218848,0.05673805295214389,94.23348573193402,191.14702927681304,96.91354353548401,96.2506743939372,97.57480042010965,1.3241260261724523,-0.046753207231809486,0.016398364323285987,-0.04799655442984407,0.0
8,4973,5.981358516737583,5.638305549333333,6.3424717626666665,611629.8737057794,611536.3120888616,611725.8651359266,189.55304706504103,7657.698198529676,7657.692301944961,7657.704401581344,0.012099636383027246,79.87124301241391,0.02487946811321251,22.109166382393123,22.08657155586908,22.132421092527753,0.04584953665866997,95.5494839466982,191.15174489601762,95.60226078091686,94.91919229852691,96.25017042080441,1.3309781222774992,-0.0464917152300542,0.01640207682370113,-0.04799655442984407,0.0
9,4405,6.673092111757245,6.342605362666666,7.046858925333333,611463.9771832994,611390.1829585317,611536.2802480569,146.09728952520527,7657.710077910535,7657.704405061684,7657.716492707512,0.012087645827705273,79.84945512171815,0.019204497377685925,22.06925166794374,22.051694413678916,22.086563896255196,0.03486948257627924,96.8642833788609,191.15643155542008,94.29214793087611,93.58241574265206,94.91893923602905,1.3365234933769778,-0.04620601911254517,0.016405766414849535,-0.04799655442984407,0.0
10,4280,7.454959389028037,7.0471260613333335,7.7512508239999995,611326.821862481,611287.575094769,611390.1357938081,102.56069903913885,7657.723491500644,7657.7164953911115,7657.728571351905,0.0120759607934815,79.83140453572251,0.013519001060231517,22.036898967437622,22.02787795091125,22.051683280970312,0.023805330059062522,98.35579438818775,191.1617246528404,92.8059306956767,92.24168695790615,93.58190794067865,1.3402209827724891,-0.04585257187000342,0.016409933295140303,-0.04799655442984407,0.0
11,5269,8.103828571296766,7.751384376,8.455698578666667,611254.3808861941,611228.5089721367,611287.5597686608,59.050796524155885,7657.734612048541,7657.728573332087,7657.740637589541,0.012064257453857863,79.82182876020967,0.007837015390592228,22.020590592239362,22.015171846118065,22.02787448762155,0.012702641503483672,99.59661371152434,191.1661139001907,91.56950019101171,90.89837278778295,92.24143246879699,1.343059681014035,-0.045534465838807915,0.016413388530431994,-0.04799655442984407,0.0
12,5271,8.80783016797774,8.45583212,9.160119816,611217.1294575003,611212.5544435175,611228.5019048043,15.947461286792532,7657.746666236762,7657.740641106101,7657.752696738558,0.012055632457304455,79.81683856878354,0.00219146204774745,22.013460081697062,22.012885411644206,22.015170493029867,0.002285081385660575,100.9444586550078,191.17087261855778,90.226413959322,89.55411105786914,90.89811799100274,1.3440069331335935,-0.04516499751918247,0.016417134507333522,-0.04799655442984407,0.0
13,5271,9.512258919147031,9.160253357333334,9.864565736,611223.4058752985,611213.0083916145,611241.0721269523,28.063735337811522,7657.758715801519,7657.752696722271,7657.764737228965,0.01204050669366552,79.81753259090121,0.0035392452399918284,22.01746496160601,22.013606283789702,22.023183120559032,0.00957683676932811,102.29337196212191,191.17563057422473,88.8822586084843,88.21029172651109,89.55385623507047,1.343564508559385,-0.044770216772607604,0.01642087977063328,-0.04799655442984407,0.0
14,5274,10.216818173596257,9.864699282666667,10.56895396,611273.2587317155,611241.0815777278,611312.691712507,71.6101347792428,7657.770755577325,7657.7647433094835,7657.776770301473,0.012026991989841918,79.82391719904389,0.009225933984254198,22.032609706250405,22.023185991969367,22.04388404171431,0.020698049744944994,103.64129901139287,191.18038576268518,87.53908675322721,86.86855602549736,88.2100370929195,1.3414810674221453,-0.04435094069974209,0.01642462274256659,-0.04799655442984407,0.0
15,5271,10.921192327154113,10.569087527999999,11.273335608,611366.6519847867,611312.7094227122,611427.8501647254,115.14074201323092,7657.7827801803505,7657.776771124714,7657.788787223189,0.012016098474305181,79.83598771594383,0.01491050641197944,22.058856545357575,22.043889019660615,22.075666747617188,0.031777727956572535,104.98615742259165,191.18513605763013,86.19897863771958,85.53027737249299,86.86830187981164,1.3380245073186532,-0.04390815884024707,0.016428361749685653,-0.04799655442984407,0.0
16,5270,11.625467205567109,11.273469208,11.977761752,611503.5474738183,611427.8761352587,611586.5350019924,158.65886673366185,7657.794791069823,7657.788790537164,7657.800793960785,0.012003423621536058,79.85373911642712,0.02059344067316715,22.096148277271265,22.075673823296142,22.118470413558697,0.042796590262554036,106.32665292168483,191.18988204476696,84.86322912684246,84.19680749447194,85.53002396574516,1.3332164712732195,-0.04344274424913237,0.016432097253318463,-0.04799655442984407,0.0
17,5216,12.330642284515337,11.977895389333334,12.682149736,611684.1933220206,611586.5692331966,611788.6945546339,202.1253214373719,7657.806805188976,7657.800798957401,7657.8127925712515,0.011993613850791007,79.87720359845441,0.02626957105088934,22.144483645991997,22.118479574221375,22.172204151516027,0.0537245772946517,107.66324369259767,191.1946304556211,83.53138678717403,82.86971960479313,84.19655508243315,1.3268354776400262,-0.04295500903009917,0.01643583455177867,-0.04799655442984407,0.0
18,5268,13.034391449393064,12.682283421333333,13.38655036,611907.8927456536,611788.7370468008,612034.2981466559,245.56109985511284,7657.818782927575,7657.812793458362,7657.8247722022425,0.011978743880717957,79.9062905586048,0.03194174164480046,22.20359074635541,22.172215380738955,22.236763905486377,0.06454852474742345,108.9901330900116,191.19936563632785,82.20923255209479,81.55029381343817,82.8694684365382,1.3191746231000228,-0.042447698379388825,0.016439561324884135,-0.04799655442984407,0.0
