phase,family,replicate,axis,separation_bins,ratio,truth_s,ols_s,circular_s,agreement,r2,phase_rmse,m1_gain,amplitude_correlation,persistent_score,relative_slope_error,distorted_over_10pct,frozen_criteria_pass
calibration,A,0,radial,2.223,0.3,,0.4015119969965548,0.4002703963986553,0.001241600597899517,0.9996571964075955,0.04835461652107659,4.7443363396348914e-05,0.4236516973847306,False,,False,True
calibration,A,1,radial,2.223,0.3,,0.39946470047304433,0.39883203495585806,0.0006326655171862705,0.9994594171652003,0.06041840204125855,0.006317795838320928,0.66277156006511,False,,False,True
calibration,A,2,radial,2.223,0.3,,0.4023882942090671,0.4017093414651364,0.0006789527439306497,0.9994080247352767,0.06368952143481267,0.0005472992186594805,0.3159552150490126,False,,False,True
calibration,A,3,radial,2.223,0.3,,0.39909429459876405,0.40169194100179545,0.002597646403031395,0.9994154154198595,0.0627723602243719,0.0033342904290329933,-0.27824310142816017,False,,False,True
calibration,A,4,radial,2.223,0.7,,0.40066605833635477,0.40065510706262975,1.0951273725023913e-05,0.9992407019750252,0.0718283539458689,0.0013180286111028616,0.4898582886537503,False,,False,True
calibration,A,5,radial,2.223,0.7,,0.39970286335400135,0.39948386226706173,0.00021900108693961862,0.9996185663533257,0.050777566751830004,0.0006210874635820263,0.053164598577643614,False,,False,True
calibration,A,6,radial,2.223,0.7,,0.3982509028284233,0.3985652557148976,0.0003143528864743006,0.9994593987994598,0.06023584082609566,0.00019712657982584592,0.2459535672440975,False,,False,True
calibration,A,7,radial,2.223,0.7,,0.39449670261577596,0.39248354185294276,0.0020131607628331993,0.9994943485686247,0.05770601839577592,0.002689697645640976,0.31238710706889705,False,,False,True
calibration,B_static,0,radial,2.223,0.3,0.4,0.4015927977884421,0.39986422243938236,0.0017285753490597355,0.9995952056405467,0.0525573358649821,0.0002482668083414463,0.3910280960484461,False,0.003981994471105171,False,True
calibration,B_static,1,radial,2.223,0.3,0.4,0.3995992415558956,0.3984758192614587,0.0011234222944369043,0.9993891818247141,0.0642474051912656,0.008328134309121049,0.6050678768849267,False,0.0010018961102610524,False,True
calibration,B_static,2,radial,2.223,0.3,0.4,0.40248831098495474,0.4012925887258436,0.0011957222591111316,0.9993491430192666,0.06680050056540605,0.0011008439365191025,0.3396617291361062,False,0.006220777462386806,False,True
calibration,B_static,3,radial,2.223,0.3,0.4,0.39916190355541786,0.4012676333498499,0.002105729794432021,0.9995199637242957,0.05688957125461728,0.0031691791374509615,-0.21788650298739923,False,0.002095241111455398,False,True
calibration,B_static,4,radial,2.223,0.7,0.4,0.4007161179701774,0.3995558368091736,0.0011602811610038066,0.9992385351640687,0.0719398344265967,0.001711519120241367,0.4732844044929527,False,0.0017902949254434974,False,True
calibration,B_static,5,radial,2.223,0.7,0.4,0.3998369639061759,0.3983997136094466,0.0014372502967293088,0.9994587447676341,0.06051232533604783,0.0009318179289371509,0.29158318459898674,False,0.0004075902345603011,False,True
calibration,B_static,6,radial,2.223,0.7,0.4,0.3984691508989203,0.3976304211608295,0.0008387297380908487,0.9994586904896754,0.06030834241690834,0.0007189261698120619,0.26741240612372935,False,0.0038271227526992524,False,True
calibration,B_static,7,radial,2.223,0.7,0.4,0.39479120788237665,0.39165778969268294,0.003133418189693704,0.9991640047358679,0.07426655419784071,0.003809926781542128,0.3692547731058723,False,0.013021980294058433,False,True
calibration,B_slow,0,radial,2.223,0.3,0.4,0.4014175678310337,0.4020159202405605,0.00059835240952677,0.9994665606935027,0.060311069659207864,0.00015659432996539824,0.04838279352587086,False,0.003543919577584237,False,True
