acq_utc,platform,mission,acquisition_mode,node,beam,polarization,product_id,inc_deg,slant_km,beta_s,datatake_s,T_dwell_s,T_base_s,heading_deg,range_dir_deg,phi_k_range_deg_ASSUNTO,offshore_extent_km,onshore_extent_km,pier_in,wr17m_in,wr26m_in,centre_lat,centre_lon,dphi_8s_deg,dphi_10s_deg,dphi_12s_deg
2019-10-02 10:43:03,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-08,HH,1157279,34.7,737.6,97.0,7.56,1.52,0.99,349.5,79.5,9.5,6.05,-6.0,True,True,False,36.17711,-75.74639,44,35,30
2020-09-08 10:54:54,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-23,HH,1442832,50.59,918.1,120.8,7.97,1.89,1.23,351.2,81.2,11.2,5.49,-6.87,True,True,False,36.16962,-75.75134,55,44,37
2020-09-08 22:44:52,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-20,HH,1443251,47.75,875.8,115.2,7.88,1.8,1.17,189.3,279.3,29.3,9.76,-4.48,True,True,False,36.17532,-75.71504,53,42,35
2020-09-09 10:42:54,CSK4,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-08,HH,1443707,34.61,736.9,97.0,7.56,1.51,0.98,349.7,79.7,9.7,5.41,-6.66,True,True,False,36.16974,-75.75062,44,35,30
2020-09-11 22:50:52,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-13,HH,1445895,40.12,785.4,103.3,7.67,1.61,1.05,190.2,280.2,30.2,7.63,-6.61,True,True,False,36.18425,-75.7442,47,38,31
2020-10-08 22:56:58,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-05,HH,1504216,30.44,707.3,93.1,7.51,1.45,0.95,191.2,281.2,31.2,7.89,-6.84,True,True,False,36.18439,-75.74407,43,34,28
2020-10-09 10:36:55,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-0C,HH,1505527,23.75,670.6,88.2,7.36,1.38,0.9,348.6,78.6,8.6,2.53,-9.41,True,False,False,36.18095,-75.78922,40,32,27
2020-11-10 10:36:52,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-0C,HH,1589659,23.72,670.4,88.2,7.36,1.38,0.9,348.5,78.5,8.5,3.19,-8.74,True,False,False,36.17338,-75.77789,40,32,27
2020-11-13 10:42:51,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-08,HH,1598376,34.51,736.1,96.9,7.53,1.51,0.98,349.5,79.5,9.5,5.45,-6.56,True,True,False,36.17504,-75.75234,44,35,30
2020-12-10 22:56:54,CSK4,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-05,HH,1651720,30.48,707.5,93.1,7.5,1.45,0.95,191.1,281.1,31.1,7.86,-6.82,True,True,False,36.18734,-75.74547,43,34,28
2020-12-11 22:56:54,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-05,HH,1652288,30.48,707.5,93.1,7.5,1.45,0.95,191.2,281.2,31.2,7.68,-7.05,True,True,False,36.18368,-75.74628,43,34,28
2021-04-21 10:42:51,CSK4,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-08,HH,1817405,34.67,737.3,97.0,7.56,1.52,0.99,349.7,79.7,9.7,5.3,-6.78,True,True,False,36.17166,-75.7528,44,35,30
2021-04-22 10:42:49,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-08,HH,1821124,34.62,736.9,97.0,7.56,1.52,0.98,349.5,79.5,9.5,5.65,-6.4,True,True,False,36.17706,-75.75111,44,35,30
2021-04-22 22:50:52,CSK4,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-13,HH,1822894,39.98,784.1,103.2,7.67,1.61,1.05,190.1,280.1,30.1,7.8,-6.44,True,True,False,36.18879,-75.74425,47,38,31
2021-06-29 22:56:51,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-05,HH,1941935,30.56,708.1,93.2,7.5,1.46,0.95,191.1,281.1,31.1,7.72,-7.03,True,True,False,36.18356,-75.74586,43,34,28
2021-06-30 10:54:50,CSK4,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-23,HH,1942455,50.58,917.9,120.8,7.97,1.89,1.23,351.1,81.1,11.1,5.46,-6.89,True,True,False,36.16768,-75.75076,55,44,37
2021-07-01 10:54:54,CSK2,COSMO-SkyMed (I Generation),Spotlight-2,ASCENDING,ES-23,HH,1942002,50.63,918.8,120.9,7.97,1.89,1.23,351.2,81.2,11.2,5.63,-6.71,True,True,False,36.17364,-75.75144,55,44,37
2021-10-13 22:45:03,CSK1,COSMO-SkyMed (I Generation),Spotlight-2,DESCENDING,ES-20,HH,2098202,47.72,875.4,115.2,7.88,1.8,1.17,189.5,279.5,29.5,9.59,-4.64,True,True,False,36.18003,-75.71906,53,42,35
