acq_utc,product_id,gauge,dt_min,waveHs,waveTp,waveTm,waveMeanDirection,wavePeakDirectionPeakFrequency,directionalPeakSpread
2019-10-02 10:43:03,1157279,waverider-17m,-10.1,1.373,13.514,11.178,93.386,110.0,26.592
2019-10-02 10:43:03,1157279,awac-11m,17.0,1.356,12.821,10.751,89.676,90.0,24.637
2019-10-02 10:43:03,1157279,8m-array,17.0,1.283,13.889,11.355,86.29,92.0,20.034
2019-10-02 10:43:03,1157279,waverider-26m,-10.1,1.407,13.423,10.688,96.01,95.0,23.87
2020-09-08 10:54:54,1442832,waverider-17m,5.1,1.02,7.273,6.444,82.957,95.0,21.952
2020-09-08 10:54:54,1442832,awac-11m,5.1,0.962,7.491,6.316,82.039,90.0,30.489
2020-09-08 10:54:54,1442832,8m-array,5.1,0.814,7.672,6.743,62.746,60.0,22.162
2020-09-08 10:54:54,1442832,waverider-26m,5.1,1.013,7.299,6.18,81.769,90.0,23.27
2020-09-08 22:44:52,1443251,waverider-17m,-14.9,1.062,4.957,5.445,75.513,80.0,26.446
2020-09-08 22:44:52,1443251,awac-11m,15.1,1.061,5.019,5.816,72.806,70.0,36.411
2020-09-08 22:44:52,1443251,8m-array,15.1,0.918,9.106,6.447,69.098,70.0,19.255
2020-09-08 22:44:52,1443251,waverider-26m,-14.9,1.107,5.848,5.964,71.06,65.0,29.28
2020-09-09 10:42:54,1443707,waverider-17m,-12.9,1.161,5.495,5.612,79.048,70.0,27.862
2020-09-09 10:42:54,1443707,awac-11m,17.1,1.197,5.242,5.618,71.526,65.0,35.95
2020-09-09 10:42:54,1443707,8m-array,17.1,1.061,5.597,6.096,62.528,54.0,28.289
2020-09-09 10:42:54,1443707,waverider-26m,-12.9,1.305,5.298,5.483,76.084,50.0,30.307
2020-09-11 22:50:52,1445895,waverider-17m,9.1,0.922,9.975,6.218,69.436,90.0,26.278
2020-09-11 22:50:52,1445895,awac-11m,9.1,0.872,7.678,6.017,80.309,85.0,31.899
2020-09-11 22:50:52,1445895,8m-array,9.1,0.656,10.44,6.783,53.499,84.0,28.187
2020-09-11 22:50:52,1445895,waverider-26m,9.1,0.909,7.663,6.487,94.244,110.0,26.189
2020-10-08 22:56:58,1504216,waverider-17m,3.0,0.681,4.745,4.875,34.586,25.0,24.14
2020-10-08 22:56:58,1504216,awac-11m,3.0,0.581,4.592,5.501,52.106,35.0,36.41
2020-10-08 22:56:58,1504216,8m-array,3.0,0.553,4.673,5.564,54.237,46.0,25.768
2020-10-08 22:56:58,1504216,waverider-26m,3.0,0.722,5.54,5.045,32.118,25.0,27.139
2020-10-09 10:36:55,1505527,waverider-17m,-6.9,0.948,5.495,5.144,37.353,35.0,26.662
2020-10-09 10:36:55,1505527,awac-11m,23.1,0.862,6.231,5.039,52.599,50.0,34.085
2020-10-09 10:36:55,1505527,8m-array,23.1,0.701,6.563,5.584,51.369,46.0,24.762
2020-10-09 10:36:55,1505527,waverider-26m,-6.9,0.96,6.27,5.141,33.587,45.0,25.281
2020-11-10 10:36:52,1589659,waverider-17m,-6.9,0.844,10.256,7.138,109.051,115.0,25.785
2020-11-10 10:36:52,1589659,awac-11m,23.1,0.873,9.456,7.831,75.128,90.0,35.289
2020-11-10 10:36:52,1589659,8m-array,23.1,0.796,9.384,7.993,93.468,104.0,20.251
2020-11-10 10:36:52,1589659,waverider-26m,-6.9,1.234,8.807,7.404,125.748,135.0,28.207
2020-11-13 10:42:51,1598376,waverider-17m,-12.8,1.403,6.088,5.86,62.12,25.0,35.452
2020-11-13 10:42:51,1598376,awac-11m,17.2,1.227,5.376,5.728,77.192,50.0,36.62
2020-11-13 10:42:51,1598376,8m-array,17.2,1.126,5.929,6.363,62.458,30.0,28.594
2020-11-13 10:42:51,1598376,waverider-26m,-12.8,1.577,8.18,6.364,78.219,135.0,24.788
2020-12-10 22:56:54,1651720,waverider-17m,3.1,0.813,5.642,6.078,46.66,35.0,25.325
2020-12-10 22:56:54,1651720,awac-11m,3.1,0.815,5.839,5.955,62.374,55.0,35.29
2020-12-10 22:56:54,1651720,8m-array,3.1,0.64,11.264,7.016,55.571,68.0,19.453
2020-12-10 22:56:54,1651720,waverider-26m,3.1,0.931,5.698,5.933,35.937,25.0,26.351
2020-12-11 22:56:54,1652288,waverider-17m,3.1,0.42,9.828,6.614,89.754,65.0,31.196
2020-12-11 22:56:54,1652288,awac-11m,3.1,0.444,9.412,7.143,78.021,80.0,32.535
2020-12-11 22:56:54,1652288,8m-array,3.1,0.36,9.946,8.339,80.584,76.0,20.423
2020-12-11 22:56:54,1652288,waverider-26m,3.1,0.45,9.569,6.912,87.98,70.0,34.88
