acq_utc,product_id,gauge,dt_min,waveHs,waveTp,waveTm,waveMeanDirection,wavePeakDirectionPeakFrequency,directionalPeakSpread
2020-09-07 22:51:35,XXXXB00000000555325955346,waverider-17m,8.4,1.266,7.843,6.002,79.327,80.0,23.049
2020-09-07 22:51:35,XXXXB00000000555325955346,awac-11m,8.4,1.254,7.737,6.168,74.491,80.0,29.099
2020-09-07 22:51:35,XXXXB00000000555325955346,8m-array,8.4,1.111,8.191,6.473,60.795,50.0,24.938
2020-09-07 22:51:35,XXXXB00000000555325955346,waverider-26m,8.4,1.354,8.23,5.956,78.352,90.0,26.13
2020-09-11 11:07:08,XXXXB00000000555326017173,waverider-17m,-7.1,0.938,7.194,7.126,106.675,100.0,24.34
2020-09-11 11:07:08,XXXXB00000000555326017173,awac-11m,-7.1,0.829,7.533,7.019,90.193,90.0,30.028
2020-09-11 11:07:08,XXXXB00000000555326017173,8m-array,-7.1,0.743,8.487,7.714,73.025,56.0,26.892
2020-09-11 11:07:08,XXXXB00000000555326017173,waverider-26m,-7.1,1.025,6.768,6.649,120.251,115.0,25.344
2020-10-08 11:15:42,XXXXB00000000555326501192,waverider-17m,14.3,0.5,9.276,5.361,42.53,80.0,26.32
2020-10-08 11:15:42,XXXXB00000000555326501192,awac-11m,-15.7,0.451,9.434,5.802,82.404,85.0,32.946
2020-10-08 11:15:42,XXXXB00000000555326501192,8m-array,-15.7,0.341,9.681,7.796,71.822,62.0,23.944
2020-10-08 11:15:42,XXXXB00000000555326501192,waverider-26m,14.3,0.635,9.234,4.97,11.941,90.0,28.749
2020-11-10 11:15:43,XXXXB00000000563118922512,waverider-17m,14.3,0.833,7.394,7.004,108.638,115.0,24.929
2020-11-10 11:15:43,XXXXB00000000563118922512,awac-11m,-15.7,0.873,9.456,7.831,75.128,90.0,35.289
2020-11-10 11:15:43,XXXXB00000000563118922512,8m-array,-15.7,0.796,9.384,7.993,93.468,104.0,20.251
2020-11-10 11:15:43,XXXXB00000000563118922512,waverider-26m,14.3,1.305,8.214,7.483,125.944,140.0,24.575
2020-11-12 22:51:36,XXXXB00000000563118981344,waverider-17m,8.4,1.277,5.355,5.735,58.322,25.0,32.327
2020-11-12 22:51:36,XXXXB00000000563118981344,awac-11m,8.4,1.278,5.548,5.486,77.069,70.0,34.087
2020-11-12 22:51:36,XXXXB00000000563118981344,8m-array,8.4,1.089,5.385,6.13,57.654,24.0,27.427
2020-11-12 22:51:36,XXXXB00000000563118981344,waverider-26m,8.4,1.524,8.403,6.143,76.324,140.0,23.464
2020-12-09 23:00:08,XXXXB00000000563119448418,waverider-17m,-0.1,0.515,11.08,9.441,81.153,70.0,30.111
2020-12-09 23:00:08,XXXXB00000000563119448418,awac-11m,-0.1,0.498,11.111,9.651,83.832,85.0,27.911
2020-12-09 23:00:08,XXXXB00000000563119448418,8m-array,-0.1,0.516,10.895,10.314,79.407,82.0,18.149
2020-12-09 23:00:08,XXXXB00000000563119448418,waverider-26m,-0.1,0.832,10.929,6.656,134.033,65.0,30.375
2021-01-21 11:07:06,XXXXB00000000563120192176,waverider-17m,592.9,0.463,6.678,6.338,72.839,40.0,32.035
2021-01-21 11:07:06,XXXXB00000000563120192176,awac-11m,-7.1,0.537,6.107,5.803,51.356,50.0,34.869
2021-01-21 11:07:06,XXXXB00000000563120192176,8m-array,-7.1,0.498,6.055,6.194,51.166,25.0,22.47
2021-01-21 11:07:06,XXXXB00000000563120192176,waverider-26m,-5317.1,0.753,11.299,6.104,188.064,120.0,33.951
2021-04-20 23:00:07,XXXXB00000000573568201727,waverider-17m,-0.1,0.639,8.547,5.75,107.405,80.0,23.974
2021-04-20 23:00:07,XXXXB00000000573568201727,awac-11m,-0.1,0.555,6.711,6.412,47.976,75.0,40.286
2021-04-20 23:00:07,XXXXB00000000573568201727,8m-array,-0.1,0.44,8.944,7.502,79.847,65.0,19.712
2021-04-20 23:00:07,XXXXB00000000573568201727,waverider-26m,-0.1,0.639,8.547,5.75,107.405,80.0,23.974
2021-10-12 11:07:16,XXXXB00000000589635259468,waverider-17m,-7.3,1.457,9.191,7.914,50.002,60.0,24.974
2021-10-12 11:07:16,XXXXB00000000589635259468,awac-11m,-7.3,1.346,8.639,7.732,66.938,70.0,29.562
2021-10-12 11:07:16,XXXXB00000000589635259468,8m-array,-7.3,1.294,8.596,8.281,59.106,60.0,20.128
2021-10-12 11:07:16,XXXXB00000000589635259468,waverider-26m,22.7,1.882,11.08,7.348,35.669,90.0,27.858
2021-10-13 23:00:15,XXXXB00000000589635302831,waverider-17m,-0.2,1.108,9.547,6.757,59.255,65.0,25.052
2021-10-13 23:00:15,XXXXB00000000589635302831,awac-11m,-0.2,1.101,8.316,6.629,64.312,70.0,28.057
2021-10-13 23:00:15,XXXXB00000000589635302831,8m-array,-0.2,1.039,10.579,7.97,63.656,70.0,20.201
2021-10-13 23:00:15,XXXXB00000000589635302831,waverider-26m,-0.2,1.302,10.811,7.397,56.357,75.0,23.169
2023-11-06 22:51:53,XXXXB00000000657621626817,waverider-17m,8.1,0.922,8.032,7.371,79.356,100.0,26.413
2023-11-06 22:51:53,XXXXB00000000657621626817,awac-11m,8.1,1.044,8.264,7.671,85.752,90.0,29.968
2023-11-06 22:51:53,XXXXB00000000657621626817,waverider-26m,8.1,1.027,7.03,7.445,82.77,105.0,25.325
