acq_utc,sensore,mode,metadata_level,product_id,platformSerialIdentifier,orbitDirection,swathIdentifier,polarisationChannels,polarisationMode,delta_az_m,delta_az_source,slant_range_res_m,chirp_bw_MHz_inferita,sensorResolution,resolution_class,incidenceAngle,minimumIncidenceAngle,maximumIncidenceAngle,off_nadir_angle,slant_km,beta_s,T_dwell_s,T_base_s,dphi_8s_deg,dphi_10s_deg,dphi_12s_deg,eoweb_span_s,cleos_datatake_s,scene_azimuth_km,heading_deg,range_dir_deg,offshore_extent_km,onshore_extent_km,footprint_long_km,footprint_short_km,sea_area_km2,pier_in,wr17m_in,wr26m_in,centre_lat,centre_lon,processingLevel,dopplerFrequency,Quality,Availability,Revision,aoi_coverage_percentage,orbitNumber,RelOrbit,OrbitCycle,OrbitPhase,OrbitsRepeatCycle,DatatakeFileNumber,UniqueDataTakeID,AntennaReceiveConfiguration,IOP,GOP,acquisitionStation,acquisitionDate,archivingDate,startTime,stopTime,status,processorName,acquisitionType,antennaLookDirection,CreationSite,sorgente,eoweb_id,polygon
2020-09-07 22:51:35,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000555325955346,TDX-1,ASCENDING,spot_015,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,23.24757230338,22.7680396973697,23.7150557953521,,556.5,73.2,4.742,3.082,139,111,92,0.391,,2.75,349.0,79.0,4.03,-4.12,7.81,2.78,11.2,True,True,False,36.18244,-75.74975,L0,0.0,AUTO_APPROVED,EXISTING,OPER_TDX_01,,56657,74,440,1,167,12720,2766506,SRA,24578,14396,SGS,2020-09-07T22:51:35.333Z,2020-09-08T02:43:49.576Z,2020-09-07T22:51:35.137Z,2020-09-07T22:51:35.528Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555325955346/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1768182720709,-75.70406024790651), (36.2013840028082,-75.70998939641157), (36.1880549280277,-75.7954454869369), (36.1634907838074,-75.78948569889099), (36.1768182720709,-75.70406024790651)"
2020-09-11 11:07:08,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000555326017173,TSX-1,DESCENDING,spot_059,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,42.6386518998004,42.4131145045203,42.861909106935,,678.9,89.3,5.786,3.761,169,135,113,0.432,,3.04,189.5,279.5,3.19,-2.99,5.37,3.06,9.8,True,False,False,36.18229,-75.74795,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,,73440,127,440,1,167,12861,2766507,SRA,24578,14396,SGS,2020-09-11T11:07:08.929Z,2020-09-11T14:20:33.357Z,2020-09-11T11:07:08.713Z,2020-09-11T11:07:09.145Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555326017173/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1998353907733,-75.77466306213103), (36.1727088304417,-75.78028708587368), (36.1647351210562,-75.72125619647), (36.191862113777,-75.71561098417868), (36.1998353907733,-75.77466306213103)"
2020-10-08 11:15:42,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000555326501192,TSX-1,DESCENDING,spot_021,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,26.4113485339008,25.9922824658818,26.8217790036496,,569.6,74.9,4.854,3.155,142,114,95,0.4,,2.81,190.8,280.8,3.75,-3.86,7.17,2.84,10.7,True,False,False,36.18166,-75.74946,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,,73850,36,443,1,167,11064,,SRA,2,14396,D20,2020-10-08T11:15:42.707Z,2020-12-11T08:07:48.125Z,2020-10-08T11:15:42.507Z,2020-10-08T11:15:42.907Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555326501192/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.2002162251624,-75.78569860919418), (36.1750976790838,-75.79163715262132), (36.1630985204569,-75.71322843286339), (36.1882159496778,-75.70726194978607), (36.2002162251624,-75.78569860919418)"
2020-11-10 11:15:43,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000563118922512,TSX-1,DESCENDING,spot_021,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,26.4098777833423,25.9907847930918,26.820333854553,,569.6,74.9,4.854,3.155,142,114,95,0.4,,2.81,190.8,280.8,3.78,-3.84,7.17,2.84,10.7,True,False,False,36.18182,-75.74927,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,,74351,36,446,1,167,871,,SRA,2,14396,D20,2020-11-10T11:15:43.212Z,2020-12-11T07:45:27.362Z,2020-11-10T11:15:43.012Z,2020-11-10T11:15:43.412Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563118922512/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.2003831933635,-75.78551581282721), (36.1752646752993,-75.79145411650768), (36.1632654270826,-75.71304098599342), (36.1883828281067,-75.70707473994639), (36.2003831933635,-75.78551581282721)"
2020-11-12 22:51:36,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000563118981344,TDX-1,ASCENDING,spot_015,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,23.2470244507789,22.7667616404044,23.7139229605357,,556.5,73.2,4.742,3.082,139,111,92,0.392,,2.76,349.0,79.0,4.5,-4.17,8.34,2.78,12.5,True,False,False,36.18203,-75.74704,L0,0.0,LIMITED_APPROVAL,EXISTING,OPER_TDX_01,,57659,74,446,1,167,5732,,SRA,24578,14396,D20,2020-11-12T22:51:37.036Z,2020-12-25T10:24:08.708Z,2020-11-12T22:51:36.840Z,2020-11-12T22:51:37.232Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563118981344/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1768580203392,-75.6984556899938), (36.2014306782112,-75.70438333943162), (36.1871980223372,-75.79564964486042), (36.1626270495714,-75.78968930755792), (36.1768580203392,-75.6984556899938)"
2020-12-09 23:00:08,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000563119448418,TDX-1,ASCENDING,spot_053,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,40.3578317584807,40.1108602510077,40.6000774186261,,658.2,86.6,5.61,3.646,164,131,109,0.431,,3.03,350.3,80.3,3.86,-3.01,6.43,3.06,11.8,True,True,False,36.18322,-75.74445,L0,0.0,LIMITED_APPROVAL,EXISTING,OPER_TDX_01,,58069,150,448,1,167,7902,,SRA,24578,14396,D20,2020-12-09T23:00:08.410Z,2020-12-14T11:55:24.003Z,2020-12-09T23:00:08.194Z,2020-12-09T23:00:08.625Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563119448418/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1745441871039,-75.70628656930501), (36.2016378679553,-75.71202365030598), (36.1919008782773,-75.78262703858672), (36.1648069063911,-75.77686458476398), (36.1745441871039,-75.70628656930501)"
2021-01-21 11:07:06,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000563120192176,TSX-1,DESCENDING,spot_059,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,42.641895249304,42.4164076947433,42.8651036204471,,678.9,89.3,5.786,3.761,169,135,113,0.432,,3.04,189.5,279.5,2.99,-3.19,5.38,3.06,9.1,True,False,False,36.18079,-75.74965,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,,75444,127,452,1,167,5045,,SRA,24578,14396,D20,2021-01-21T11:07:07.161Z,2021-01-28T07:43:03.621Z,2021-01-21T11:07:06.945Z,2021-01-21T11:07:07.377Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563120192176/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1983416776692,-75.77637480477551), (36.1712170145593,-75.78199838273889), (36.1632406374322,-75.72294272784978), (36.1903657345351,-75.71729794663162), (36.1983416776692,-75.77637480477551)"
2021-04-20 23:00:07,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000573568201727,TDX-1,ASCENDING,spot_053,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,40.3596417488389,40.1137357569687,40.6028487426917,,658.3,86.6,5.61,3.646,164,131,109,0.432,,3.04,350.3,80.3,2.9,-3.09,5.53,3.06,8.9,True,False,False,36.18242,-75.75034,L0,0.0,AUTO_APPROVED,EXISTING,OPER_TDX_01,,60073,150,460,1,167,7407,,SRA,24578,14396,D20,2021-04-20T23:00:07.360Z,2021-04-22T08:23:17.385Z,2021-04-20T23:00:07.144Z,2021-04-20T23:00:07.576Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000573568201727/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1730519478018,-75.71709787975078), (36.2001707532128,-75.7228435201938), (36.1917892762629,-75.78359754028082), (36.1646702238253,-75.77783005165952), (36.1730519478018,-75.71709787975078)"
2021-10-12 11:07:16,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000589635259468,TSX-1,DESCENDING,spot_059,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,42.6406035618092,42.4151063517768,42.8638214058054,,678.9,89.3,5.786,3.761,169,135,113,0.432,,3.04,189.5,279.5,3.15,-3.03,5.37,3.06,9.6,True,False,False,36.18172,-75.74818,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,,79452,127,476,1,167,7504,,SRA,24578,14396,D20,2021-10-12T11:07:16.832Z,2022-02-21T19:57:30.720Z,2021-10-12T11:07:16.616Z,2021-10-12T11:07:17.048Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000589635259468/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1992677362442,-75.77487236912111), (36.1721431340831,-75.78049605591627), (36.164173236129,-75.72149718857452), (36.1912982731955,-75.71585232897257), (36.1992677362442,-75.77487236912111)"
2021-10-13 23:00:15,TerraSAR-X/TanDEM-X,ST,product,XXXXB00000000589635302831,TDX-1,ASCENDING,spot_053,HH,S,0.24,nominale del modo (NON misurata sul prodotto),1.1,161,1.1,,40.3617578951258,40.1158501205857,40.6049666002169,,658.3,86.6,5.61,3.646,164,131,109,0.432,,3.04,350.3,80.3,2.98,-3.01,5.53,3.06,9.1,True,False,False,36.18264,-75.74945,L0,0.0,AUTO_APPROVED,EXISTING,OPER_TDX_01,,62745,150,476,1,167,9732,,SRA,24578,14396,D20,2021-10-13T23:00:15.885Z,2022-02-21T17:14:21.882Z,2021-10-13T23:00:15.669Z,2021-10-13T23:00:16.101Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,EOWEB product detail,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000589635302831/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1732784932615,-75.71619622454091), (36.2003910366816,-75.72194184766971), (36.1920047521163,-75.78272395629978), (36.1648919540011,-75.77695646885428), (36.1732784932615,-75.71619622454091)"
