select;recordNum;isOrderable;productType;startdate;enddate;EOAcquisitionPlatform;sensorOperationalMode;platformSerialIdentifier;instrumentShortName;swathIdentifier;AntennaReceiveConfiguration;RelOrbit;antennaLookDirection;minimumIncidenceAngle;incidenceAngle;maximumIncidenceAngle;orbitDirection;polarisationMode;polarisationChannels;orbitNumber;Quality;DatatakeFileNumber;id;footprint
true;1;available_false.png;TSX-1.SAR.L1b-Spotlight;2017-05-20T11:06:39.100Z;2017-05-20T11:06:40.591Z;TSM;SL;TSX-1;SAR;spot_058;SRA;127;RIGHT;42.0137717640465;42.426717986679;42.8323980720158;DESCENDING;S;HH;55070;OPERATOR_APPROVED;3641;TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000451410323401/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.76735176774702,36.255533968977 -75.78672295546562,36.1619398573026 -75.66198563007327,36.1450594631015 -75.64243230670712,36.2386529308736 -75.76735176774702,36.255533968977
true;2;available_false.png;TSX-1.SAR.L1b-Spotlight;2008-03-20T22:50:13.327Z;2008-03-20T22:50:14.774Z;TSM;SL;TSX-1;SAR;spot_015;SRA;74;RIGHT;22.5819150244412;23.2497729483376;23.8932188305492;ASCENDING;S;HH;4249;AUTO_APPROVED;3512;TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000164719460294/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.66276557699882,36.1320905422246 -75.68463969271738,36.2229021656015 -75.82238917311139,36.20142959933 -75.80027162357487,36.110636932019 -75.66276557699882,36.1320905422246
true;3;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2023-10-08T11:07:28.122Z;2023-10-08T11:07:28.863Z;TSM;HS;TSX-1;SAR;spot_058;SRA;127;RIGHT;42.1193466282978;42.3828005161697;42.6431501933315;DESCENDING;S;VV;90474;AUTO_APPROVED;8774;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000655038330281/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.74801313725152,36.2029816838137 -75.75766664586149,36.1564952720069 -75.67889094225609,36.1458275176909 -75.66918896829242,36.1923148621101 -75.74801313725152,36.2029816838137
true;4;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2010-05-15T22:59:00.342Z;2010-05-15T22:59:01.099Z;TSM;HS;TSX-1;SAR;spot_053;SRA;150;RIGHT;40.0405287342635;40.3433116984456;40.6420132322392;ASCENDING;S;HH;16182;AUTO_APPROVED;6632;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443219592/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.69902005293869,36.168653223497 -75.70908044699507,36.2161819167036 -75.79635269372079,36.2041498548436 -75.78623723825882,36.1566205415555 -75.69902005293869,36.168653223497
true;5;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2010-05-14T11:06:01.136Z;2010-05-14T11:06:01.889Z;TSM;HS;TSX-1;SAR;spot_059;SRA;127;RIGHT;42.3428977131085;42.602162655897;42.8584192464689;DESCENDING;S;VV;16159;AUTO_APPROVED;6549;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443215909/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.7820902891392,36.2157782399662 -75.79188673571298,36.1684863684219 -75.71270643583358,36.1577927910442 -75.70286042901671,36.2050856616679 -75.7820902891392,36.2157782399662
true;6;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2010-05-09T10:57:28.245Z;2010-05-09T10:57:29.018Z;TSM;HS;TSX-1;SAR;spot_097;SRA;51;RIGHT;53.9301155943501;54.1017995680479;54.2720615823875;DESCENDING;S;HH;16083;AUTO_APPROVED;6217;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443201870/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.78337278983258,36.2163609074627 -75.79206233330211,36.1679122324545 -75.71676738032392,36.1590827860807 -75.70803005972402,36.2075349370585 -75.78337278983258,36.2163609074627
true;7;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2010-04-28T10:57:27.367Z;2010-04-28T10:57:28.121Z;TSM;HS;TSX-1;SAR;spot_097;SRA;51;RIGHT;53.9340710415216;54.1057330711151;54.2759734311729;DESCENDING;S;VV;15916;AUTO_APPROVED;5555;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443169147/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.78152626515651,36.2148914188673 -75.79000725106829,36.1676007684555 -75.7147161839033,36.1587724557535 -75.70618856132569,36.2060665378161 -75.78152626515651,36.2148914188673
true;8;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2009-08-29T23:07:31.749Z;2009-08-29T23:07:32.525Z;TSM;HS;TSX-1;SAR;spot_091;SRA;59;RIGHT;52.4177541098305;52.5980221700705;52.7767438677638;ASCENDING;S;VV;12250;AUTO_APPROVED;5155;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000208010608770/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.68679918860761,36.1690806397631 -75.69573745888368,36.2177565161023 -75.7707169787887,36.2087660506183 -75.76173090981553,36.1600870369184 -75.68679918860761,36.1690806397631
true;9;available_false.png;TSX-1.SAR.L1b-High-Resolution-Spotlight;2008-05-13T23:07:21.850Z;2008-05-13T23:07:22.967Z;TSM;HS;TSX-1;SAR;spot_091;SRA;59;RIGHT;52.3897699987793;52.5138977041115;52.6368401963129;ASCENDING;D;HH, VV;5069;AUTO_APPROVED;5935;TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000168783763747/dims_op_pl_dfd_//TSX-1.SAR.L0;-75.71612933820592,36.1514283557863 -75.72900814142952,36.2214259891364 -75.78047134163529,36.2152487659959 -75.76754537545878,36.1452480554021 -75.71612933820592,36.1514283557863
true;10;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2023-11-06T22:51:53.715Z;2023-11-06T22:51:54.106Z;TSM;ST;TDX-1;SAR;spot_015;SRA;74;RIGHT;22.7715714404122;23.2510922695327;23.7185655406795;ASCENDING;S;HH;74192;AUTO_APPROVED;10844;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000657621626817/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.7029556092059,36.1771381042471 -75.70888356799787,36.2016981437761 -75.79432798391792,36.1883708304356 -75.78836939006288,36.163812367479 -75.7029556092059,36.1771381042471
