acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,sensor_vertical_context,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status,spectral_status,spectral_valid_bin_fraction
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,nearest_context,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,previous_qc,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,next_qc,2021-10-12T12:00:00+00:00,1634040000.0,seconds since 1970-01-01 00:00:00,3163.3840000629425,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/5,547,position_a3d3f9c49b5c1ba275e000fe,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,gaugeDepth,nearest_qc,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,0.0,waves__waverider-17m__4e2d54ee6b11/variables/gaugeDepth/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,"Sensor Depth Using Pressure, relative to mean water level",unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,nearest_context,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,1.457075,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,previous_qc,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,1.457075,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,next_qc,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,m,1.4963236,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/4,546,position_98967d842a2d84e2484597d3,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": -999.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveHs,nearest_qc,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,m,1.457075,waves__waverider-17m__4e2d54ee6b11/variables/waveHs/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,nearest_context,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,s,9.191176,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
TSX-1_record_12,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTp,previous_qc,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,1800,,,s,9.191176,waves__waverider-17m__4e2d54ee6b11/variables/waveTp/3,545,position_5a6fe4f35f19ea34a64b6935,"{""nominalDepth"": {""value"": 18.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 10.0}}}",retrieved,True,True,1.0,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique,,
