transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
0,400.0,431838.0464217883,4007738.0254968926,False,6.148626804351807,4.127200126647949,8.22392749786377,1.090000033378601,0.0,83.54738583865658,True,,,,,,,,,,,,,,
0,450.0,431884.9865928825,4007755.2481661877,False,6.648468971252441,4.779301166534424,8.594747543334961,1.090000033378601,0.0,95.07601314665045,True,,,,,,,,,,,,,,
0,500.0,431931.92676397675,4007772.4708354827,False,7.1173996925354,5.070204734802246,8.925394058227539,1.090000033378601,0.0,95.07601314665045,True,,,,,,,,,,,,,,
0,550.0,431978.86693507095,4007789.6935047777,False,7.560455322265625,5.539035797119141,9.21463680267334,1.090000033378601,0.0,104.24045538494197,True,,,,,,,,,,,,,,
0,600.0,432025.80710616516,4007806.9161740723,True,7.991404056549072,6.128861904144287,9.487886428833008,0.9200000166893005,0.0,103.97144730968249,True,68.19859051364818,0.06200014487120113,0.057190092888485214,"[0.042951462060798, 0.06749515466696829]",0.06103485659051968,0.0655310167854379,"[0.055223308363883145, 0.07976700097005343]",0.2908579247222646,0.24071728142234833,"[0.11658253987930886, 0.34974761963792655]",98.32330651119658,89.68726409062616,108.56355281548875,89.68726409062616
0,650.0,432072.74727725936,4007824.1388433673,True,8.39614486694336,6.684098720550537,9.766860961914062,0.9100000262260437,0.0,95.07601314665045,True,68.19859051364818,0.018407769454627715,0.018407769454627715,"[0.018407769454627715, 0.018407769454627715]",0.059137095756466584,0.060580244739358774,"[0.055223308363883145, 0.06749515466696829]",0.29400329004553866,0.2504593131630724,"[0.17794177139473458, 0.3129320807286712]",101.82872353657116,92.83474855033884,112.48873199757232,92.83474855033884
0,700.0,432119.6874483536,4007841.3615126624,True,8.699474334716797,7.1654372215271,9.96259880065918,0.8999999761581421,0.0,255.99999999999972,False,68.19859051364818,0.018407769454627715,0.04116917660651512,"[0.018407769454627715, 0.06749515466696829]",0.059020361224823334,0.060629924109559696,"[0.055223308363883145, 0.06749515466696829]",0.2943672357269925,0.25059330751078485,"[0.17794177139473458, 0.3129320807286712]",103.37200483699104,94.2150946750591,114.22267885807834,94.2150946750591
0,750.0,432166.6276194478,4007858.5841819574,True,9.033623695373535,7.638484477996826,10.205767631530762,0.8899999856948853,0.0,157.07442971594136,True,90.0,0.018407769454627715,0.029589138470894054,"[0.018407769454627715, 0.042951462060798]",0.05835402322900835,0.06039333886415181,"[0.055223308363883145, 0.06749515466696829]",0.2954752095760573,0.2556532885508985,"[0.19021361769781972, 0.3129320807286712]",105.55225789392017,96.16896849093233,116.66812229810016,96.16896849093233
0,800.0,432213.56779054203,4007875.8068512524,True,9.353583335876465,8.124724388122559,10.431890487670898,0.8799999952316284,0.0,146.28571428571402,False,90.0,0.018407769454627715,0.0503522763672773,"[0.018407769454627715, 0.09203884727313857]",0.0573389910514525,0.06004818966405315,"[0.055223308363883145, 0.06749515466696829]",0.2962775953461034,0.3000789763245888,"[0.2883883881225009, 0.3129320807286712]",107.38874333171742,97.80904814080066,118.73425239391364,97.80904814080066
0,850.0,432260.50796163623,4007893.0295205475,True,9.647686958312988,8.527809143066406,10.685063362121582,0.8700000047683716,0.0,79.53106530485718,True,90.0,0.04154547457315888,0.054384964518893665,"[0.018407769454627715, 0.09203884727313857]",0.05687964617713691,0.05988275566702278,"[0.055223308363883145, 0.06749515466696829]",0.297846013507537,0.3004560349655484,"[0.2883883881225009, 0.3129320807286712]",108.6067508744973,98.8963332317202,120.10507206879028,98.8963332317202
