run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,0,500.0,430382.1595173896,4012191.60516003,7.037500381469727,8m-array,8.0,77.7512559887156,76.41885620812705,True,113.87563801827534,-0.31722660490176413,-0.32892708626701206,0.15355214476585388,0.0
near,0,550.0,430429.751344854,4012206.9354554806,7.45258903503418,8m-array,8.0,78.4758919966027,78.53721485797067,True,103.73083265812805,-0.2434660940663571,-0.24287492112580944,0.15355214476585388,0.0
near,0,600.0,430477.3431723184,4012222.265750931,7.850103855133057,8m-array,8.0,79.79238857545904,78.76923076923069,True,110.55914370981355,-0.27828322562906715,-0.28753761899623953,0.15355214476585388,0.0
near,0,650.0,430524.9349997828,4012237.596046381,8.227803230285645,8m-array,8.0,84.9968340835586,85.33333333333324,True,103.91662644889486,-0.18206703789254386,-0.17882887224693245,0.15355214476585388,0.0
near,0,700.0,430572.52682724723,4012252.9263418317,8.582204818725586,8m-array,8.0,109.73067507132829,93.09090909090897,True,109.24072778922464,0.004485023965136836,-0.1478369745895145,0.15355214476585388,0.0
near,0,750.0,430620.11865471164,4012268.256637282,8.933572769165039,8m-array,8.0,114.56962043996046,85.33333333333324,True,107.80895089243207,0.06270972392889673,-0.20847635908751394,0.15355214476585388,0.0
near,1,500.0,430449.7975403958,4011983.2462957916,7.103261470794678,8m-array,8.0,77.97585883727193,76.41885620812705,True,90.17064931343398,-0.13524124057012,-0.152508529216703,0.15355214476585388,0.0
near,1,550.0,430497.3175647803,4011998.7977356766,7.518993377685547,8m-array,8.0,95.52478562623655,78.53721485797067,True,106.38961038961027,-0.10212298666745323,-0.2617961982344057,0.15355214476585388,0.0
near,1,600.0,430544.83758916485,4012014.349175561,7.918859004974365,8m-array,8.0,96.19946611160657,78.76923076923069,True,118.7246376811593,-0.18972617655018797,-0.33653846153846156,0.15355214476585388,0.0
near,1,650.0,430592.35761354933,4012029.9006154463,8.29521656036377,8m-array,8.0,91.7010680223384,85.33333333333324,True,120.22786771621475,-0.23727277407273706,-0.2902366568227458,0.15355214476585388,0.0
near,1,700.0,430639.8776379338,4012045.4520553313,8.664419174194336,8m-array,8.0,109.99943860608046,93.09090909090897,True,106.1783453974588,0.0359875000341936,-0.12325899652664074,0.15355214476585388,0.0
near,1,750.0,430687.3976623183,4012061.0034952164,9.024703979492188,8m-array,8.0,104.81906390326102,108.54378291265117,False,113.4165891487265,-0.0758048298753835,-0.0429637875080644,0.15355214476585388,0.0
near,2,550.0,430565.7714029509,4011792.346214591,7.591730117797852,8m-array,8.0,96.68107183092205,78.53721485797067,True,116.6304113072845,-0.17104749312597556,-0.3266146112522078,0.15355214476585388,0.0
near,2,600.0,430613.14595173043,4011808.3353398936,8.000496864318848,8m-array,8.0,97.62792740916485,78.76923076923069,True,98.6987951807228,-0.010849856572181293,-0.20192307692307698,0.15355214476585388,0.0
near,2,650.0,430660.5205005099,4011824.324465196,8.378262519836426,8m-array,8.0,92.75682448305174,85.33333333333324,True,109.48503356389622,-0.1527899159941507,-0.22059362311349962,0.15355214476585388,0.0
near,2,700.0,430707.89504928933,4011840.3135904986,8.754688262939453,8m-array,8.0,95.198028503249,93.09090909090897,True,120.01271937897134,-0.20676717438060466,-0.22432464181608758,0.15355214476585388,0.0
