transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,bluetopo_modern_fraction,bluetopo_old_fraction,cudem_fraction,dominant_source_class,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_sector_source,sar_max_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,5000.0,435542.45489756373,4011356.482326662,True,19.62462043762207,18.780967712402344,20.574726104736328,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,511.99999999999943,False,72.0,fixed,90.0,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04259942848248507,0.042579780949879714,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",147.58510220102096,132.9871052106441,164.7522576860152,132.9871052106441
1,5100.0,435640.0732717047,4011378.1768658385,True,19.842491149902344,18.94400405883789,20.869518280029297,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,511.99999999999943,False,72.0,fixed,90.0,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04235694156892314,0.04246780825397289,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.2249508581214,133.5317648153029,165.50190265113562,133.5317648153029
1,5200.0,435737.6916458457,4011399.8714050143,True,20.07705307006836,19.136329650878906,21.132434844970703,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,137.76338821044462,True,72.0,fixed,50.19442890773481,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.042278596012965,0.04221762728128722,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.90698487279624,134.11165923936696,166.3017391392029,134.11165923936696
1,5300.0,435835.3100199867,4011421.5659441906,True,20.31011390686035,19.32274627685547,21.324203491210938,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,131.10976505128534,True,72.0,fixed,50.19442890773481,0.04666620122967487,0.04380875336484632,"[0.033747577333484144, 0.05215534678811186]",0.04223068273037863,0.041948249303913596,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.57840367366902,134.68190448857612,167.08983679219628,134.68190448857612
1,5400.0,435932.92839412775,4011443.260483367,True,20.56730842590332,19.525238037109375,21.593116760253906,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,183.17868871678252,False,72.0,fixed,50.19442890773481,0.0418784006592161,0.04525977565884707,"[0.033747577333484144, 0.05829126993965443]",0.04206071659158042,0.04182721715805574,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.208237891955476,"[0.20823789195547604, 0.20823789195547604]",150.31249517708218,135.30468762555307,167.95228530208652,135.30468762555307
1,5500.0,436030.54676826874,4011464.955022543,True,20.806142807006836,19.731395721435547,21.850677490234375,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,178.79815571701178,True,72.0,fixed,80.53767779197439,0.03867253886414546,0.044597874403384606,"[0.033747577333484144, 0.05829126993965443]",0.04138668900764096,0.04169490253167869,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",150.98795911277242,135.87710062817018,168.74657562710627,135.87710062817018
1,5600.0,436128.16514240974,4011486.649561719,True,21.035634994506836,19.932418823242188,22.106796264648438,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,174.02236463599075,True,72.0,fixed,71.56505117707799,0.037600510974394055,0.04415256224815576,"[0.033747577333484144, 0.05829126993965443]",0.04132343983386637,0.04138021608955435,"[0.04103398607594094, 0.041800976469883774]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",151.6319029028022,136.4222783197262,169.50439843731215,136.4222783197262
1,5700.0,436225.7835165507,4011508.3441008953,True,21.28413200378418,20.21701431274414,22.319866180419922,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,168.34456300068567,True,72.0,fixed,80.53767779197439,0.038158758957768386,0.04228136217799371,"[0.033747577333484144, 0.05215534678811186]",0.04123737913013996,0.04137400599378682,"[0.04103398607594094, 0.041800976469883774]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",152.32346900721518,137.0071849491694,170.3189385877392,137.0071849491694
1,5800.0,436323.4018906918,4011530.0386400716,True,21.514474868774414,20.48865509033203,22.466007232666016,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,168.34456300068567,True,72.0,fixed,90.0,0.038536123432611154,0.042474191843400816,"[0.033747577333484144, 0.05215534678811186]",0.041021130788372724,0.041028327236485064,"[0.040266995681998125, 0.041800976469883774]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",152.95842312252805,137.54357544008045,171.06752674848602,137.54357544008045
1,5900.0,436421.02026483277,4011551.733179248,True,21.741191864013672,20.762264251708984,22.618946075439453,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,170.07714274045927,True,72.0,fixed,90.0,0.0371203283482279,0.04229624026343675,"[0.033747577333484144, 0.05215534678811186]",0.04073953220198809,0.04066931602889099,"[0.040266995681998125, 0.04103398607594094]",0.20823789195547604,0.208237891955476,"[0.20823789195547604, 0.20823789195547604]",153.57696431067,138.0654251075753,171.7975383852266,138.0654251075753
