chronological_index,band_start_bin,band_stop_bin,k_low_per_m,k_high_per_m,k_geometric_center_per_m,k_energy_centroid_per_m,k_centroid_minus_geometric_per_m,t_geometric_center_s,t_energy_centroid_s,t_energy_minus_geometric_s,in_band_spectral_samples,power_fraction_outside_band
1,68219,96857,2.3536580037067862,7.060809638049355,4.70723382087807,4.550316046968052,-0.15691777391001782,3.242899386518952,3.4368811520884655,0.19398176556951352,2550,0.00011054193935211565
2,62491,91129,1.41212905299567,6.119280687338239,3.7657048701669544,3.6614953548478906,-0.10420951531906386,4.405555289724772,4.534066498036496,0.1285112083117239,2550,0.00010861384474059044
3,56764,85402,0.47076447535555804,5.177916109698126,2.824340292526842,2.750478610356952,-0.07386168216989031,5.56539893211977,5.656312615193165,0.09091368307339476,2550,0.00011238385658607353
4,51036,79674,-0.47076447535555804,4.23638715898701,1.882811341815726,1.7325810911530954,-0.15023025066263052,6.723516579309932,6.908172325901547,0.18465574659161543,2551,0.00010895779605779587
5,45309,73947,-1.41212905299567,3.295022581346898,0.941446764175614,0.753177176834252,-0.188269587341362,7.880179229709705,8.111416493351323,0.231237263641618,2551,0.00011154919374445349
6,39581,68219,-2.3536580037067862,2.353493630635782,-8.218653550207122e-05,-0.1689793744470211,-0.16889718791151903,9.03646263403653,9.243873798269682,0.20741116423315198,2551,0.00011469342969760987
7,33853,62491,-3.295186954417902,1.4119646799246661,-0.941611137246618,-0.9904096816658248,-0.048798544419206724,10.19283490296494,10.252783484501503,0.05994858153656324,2550,0.0001135323575809366
8,28126,56764,-4.236551532058014,0.470600102284554,-1.88297571488673,-1.9176734382768024,-0.034697723390072266,11.349764285829982,11.392430717858216,0.04266643202823417,2550,0.00011162492353711251
9,22398,51036,-5.17808048276913,-0.4709288484265621,-2.824504665597846,-2.850140737098896,-0.025636071501049962,12.50832722989799,12.539899133996434,0.03157190409844368,2550,0.00011205440349515428
10,16671,45309,-6.119445060409242,-1.4122934260666742,-3.765869243237958,-3.775108984708276,-0.00923974147031803,13.668795587324867,13.680198594218812,0.011403006893944578,2550,0.00010978378730863714
11,10943,39581,-7.060974011120359,-2.35382237677779,-4.707398193949074,-4.702121539396902,0.0052766545521718555,14.832257263168495,14.825727768522308,-0.0065294946461875725,2550,0.00010336436556745987
