row,col,kx_rad_m,ky_rad_m,k_rad_m,wavelength_m,angle_from_parallel_deg,vector_bearing_grid_north_deg,power,relative_power,endpoint_MSC,min_adjacent_MSC,fixed_diagnostic,pre_coherence_candidate,common_candidate,common_exclusions,evaluated,s_phi_A,s_phi_B,s_phi_C,A_valid,B_valid,C_valid,intersection,A_rmse,A_R2,A_max_step,A_unwrap_valid,reference_slope_span,telescoping_error,B_rms,C_rms,B_ambiguous,C_ambiguous,B_boundary,C_boundary,delta_B_A,delta_C_A,A_exclusions,B_exclusions,C_exclusions,lag1_s_phi,lag1_valid,lag1_ambiguous,lag2_s_phi,lag2_valid,lag2_ambiguous,lag4_s_phi,lag4_valid,lag4_ambiguous,lag8_s_phi,lag8_valid,lag8_ambiguous
108,65,-0.15707963267948966,0.0,0.15707963267948966,40.0,180.0,259.8357237,32691.26726933374,0.01898190927073449,0.3139991792360913,0.003251119389755146,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,62,-0.15271630954950383,-0.02899931680236732,0.1554452687521365,40.42056318354963,-169.2481098987401,270.5876138012599,135322.92229045305,0.07857411620067747,0.27574970836682205,0.019723023104683223,False,True,True,,True,0.9331806755592673,0.8059337430573009,0.9338363910760998,False,False,False,False,1.1248526769405915,0.9667871516568419,3.1137590835110265,False,1.1102230246251565e-16,0.0,1.0088611164694092,1.1151335655784118,False,False,False,False,-0.1272469325019664,0.0006557155168325224,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.8059337430573009,False,False,0.8499995350427915,False,False,3.1767311945710843,False,True,3.16696971878812,False,True
109,63,-0.15271630954950383,-0.01933287786824488,0.15393515312977846,40.81709199900823,-172.78511042288892,267.0506132771111,60687.12482184332,0.035237468397273486,0.03167159525104783,0.03270024249972363,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,64,-0.15271630954950383,-0.00966643893412244,0.15302193059848315,41.06068510967975,-176.37819777098858,263.4575259290114,38023.58911683023,0.0220780770845311,0.03282117308171103,0.003312722204548115,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,65,-0.15271630954950383,0.0,0.15271630954950383,41.142857142857146,180.0,259.8357237,32680.594809054546,0.018975712396473048,0.07908722978650608,0.007275201492956244,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,66,-0.15271630954950383,0.00966643893412244,0.15302193059848315,41.06068510967975,176.37819777098858,256.21392147098857,32196.279274540495,0.018694498656460688,0.16893008454865907,0.040324940652044027,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,67,-0.15271630954950383,0.01933287786824488,0.15393515312977846,40.81709199900823,172.78511042288892,252.62083412288894,26284.416373250588,0.015261825206123892,0.1519674710700256,0.0003493147060753322,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,68,-0.15271630954950383,0.02899931680236732,0.1554452687521365,40.42056318354963,169.2481098987401,249.0838335987401,19984.080145792133,0.011603587987619903,0.14262136449071203,3.284794659397009e-05,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,60,-0.148352986419518,-0.04833219467061221,0.15602759249974874,40.2697061879597,-161.95481237239605,277.88091132760394,74876.94154615674,0.04347666608300938,0.19035439636234477,0.008388609659603512,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,61,-0.148352986419518,-0.03866575573648976,0.15330899923443367,40.98379963704286,-165.39179132734222,274.4439323726578,63164.41611707058,0.03667588674354833,0.3614711142638485,0.013873535232279233,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
