phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
calibration,single_constant,0,constant,-0.0038251651611411752,False,False,-0.5333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,0,geometry,-0.0038251651611411752,False,False,-0.5333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,1,constant,-0.0029538079765745184,False,False,-0.6,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,1,geometry,-0.0029538079765745184,False,False,-0.6,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,2,constant,0.0009397381762871193,False,False,-0.33333333333333337,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,2,geometry,0.0009397381762871193,False,False,-0.33333333333333337,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,3,constant,0.0009979772823540678,False,False,0.3999999999999999,0.46666666666666656,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,3,geometry,0.0009979772823540678,False,False,0.3999999999999999,0.46666666666666656,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,4,constant,-0.007147058572399834,False,False,0.3999999999999999,1.0,0.4,0.4,0.0,0.0,59,True
calibration,single_constant,4,geometry,-0.007147058572399834,False,False,0.3999999999999999,1.0,0.4,0.4,0.0,0.0,59,True
calibration,single_constant,5,constant,-9.207925667942263e-05,False,False,-0.9333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,5,geometry,-9.207925667942263e-05,False,False,-0.9333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,6,constant,-0.0038696478013973135,False,False,0.33333333333333326,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,6,geometry,-0.0038696478013973135,False,False,0.33333333333333326,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,7,constant,-0.006515030218766205,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,7,geometry,-0.006515030218766205,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,8,constant,-0.00022067208591725063,False,False,-0.4666666666666667,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,8,geometry,-0.00022067208591725063,False,False,-0.4666666666666667,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,9,constant,-0.004959640844869995,False,False,-0.6666666666666667,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,9,geometry,-0.004959640844869995,False,False,-0.6666666666666667,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_constant,10,constant,-0.000395683817887571,False,False,-0.8,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
