phase,family,replicate,axis,separation_bins,ratio,noise_tau_s,score,valid_structure,denominator,E_early,E_mid1,E_mid2,E_late,pair_counts,truth_primary_s,ols_s,circular_s,r2,frozen_valid,relative_slope_error,B_slope_error_over_10pct,block15i_detects_B,block15i_m1_gain,block15i_amp_corr,A_slopes,control,decision,block15i_decision
calibration,A_band,0,radial,2.223,0.3,0.0,0.27347419429777386,True,0.021231498946201778,1.0646101845081306,1.8735021106180099,2.721507347213807,1.3994550383512954,61;135;195;105,,0.39972169414912045,0.40085627431076204,0.9993256107036927,True,,False,False,5.990059178584417e-05,0.09266664953820931,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,A_band,1,radial,2.223,0.3,5.0,1.5753991931386895,True,0.02125532512607873,0.28333101551893053,1.3703859071274676,2.5456516454679123,1.369245412659016,61;135;195;105,,0.39733191812935736,0.39654690853128405,0.9998407404061977,True,,False,False,0.0005888175560624376,-0.07357193554777626,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,A_band,2,radial,2.223,0.3,0.0,0.2619760078890806,True,0.02148476991441254,1.051065307619406,1.8278678956398964,2.6405581539133864,1.365854494952468,61;135;195;105,,0.4008526801342917,0.40243616814847843,0.999589267835555,True,,False,False,0.00013224751392504341,0.37675404619973835,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,A_band,3,radial,2.223,0.3,5.0,1.613260830231736,True,0.021437955898327785,0.2754019758430493,1.3358064686891276,2.4580119338125446,1.3822841499181995,61;135;195;105,,0.3981679338077152,0.3961809736980613,0.9985629139688105,True,,False,False,0.013635259926912169,0.17947981787147013,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,A_band,4,radial,2.223,0.7,0.0,0.2983010999786311,True,0.020951309845883108,1.0530463720131527,1.8636944012944487,2.7030752711368597,1.4190510451607135,61;135;195;105,,0.3996823608318468,0.399254500254369,0.9992374835178477,True,,False,False,0.0001536442717628983,0.018920057559661866,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,A_band,5,radial,2.223,0.7,5.0,1.5582841822738038,True,0.0210726376504976,0.27886095507262376,1.3390502659522898,2.445631980055016,1.3247744148109588,61;135;195;105,,0.4038136285412584,0.40212326714661584,0.9990672693609064,True,,False,False,0.004607727254349658,0.7102064831663545,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,A_band,6,radial,2.223,0.7,0.0,0.28560075593145995,True,0.021472782328724453,1.064710122703011,1.8408466729941362,2.6815095544285814,1.4166619045781657,61;135;195;105,,0.39898484878473217,0.39820918190516025,0.9991825712234315,True,,False,False,0.00034733905735884196,0.08690122772245035,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,A_band,7,radial,2.223,0.7,5.0,1.6633316641648748,True,0.020558290500982526,0.2726162998945785,1.3086518356565298,2.385793229396614,1.4385586816859746,61;135;195;105,,0.4024234761802187,0.40328843716499935,0.9998607166836443,True,,False,False,0.00035809199612812925,0.44530009655859626,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_static_observed,0,radial,2.223,0.3,0.0,0.20477939932974204,True,0.020401215426792366,1.076232076748998,1.7666392994112599,2.5528025986250977,1.3208104461163162,61;135;195;105,0.40000000000205155,0.39953637022371974,0.39858157781509684,0.9991636469942857,True,0.0011590744458235774,False,False,0.000232682565720288,-0.024446824335817092,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_static_observed,1,radial,2.223,0.3,5.0,1.521579832005627,True,0.021578682964789674,0.26497980649855246,1.211584534010816,2.253143201313028,1.2134629014807996,61;135;195;105,0.40000000000205155,0.4003006787038403,0.40008178602017164,0.9995523879216093,True,0.0007516967544679869,False,False,0.000785510664871425,-0.0913898210164453,0.33534259;0.40000000;0.46297132,False,abstain,abstain
