acquisition_key,station_active,station_id,station_distance_km,nearest_active_station_id,nearest_active_station_distance_km,station_name,station_owner,station_program,ndbc_directional_spectrum_available,cdip_linked_station,cdip_source,stations_checked_within_50_km_json,observation_offset_s,reference_class,reference_error
collect:04b5d226-d0b3-4a25-851a-b0646e2d1205,True,44078,8308.301111508566,44078,8308.301111508566,OOI Irminger Sea Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,False,False,,[],,model_only,
collect:0965638a-a446-4fd7-afcd-7a4d96903af2,True,48012,119.59181399751387,48012,119.59181399751387,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:140737c1-b3f0-4619-9720-917f18c35336,True,44078,8308.300938113913,44078,8308.300938113913,OOI Irminger Sea Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,False,False,,[],,model_only,
collect:1566ab47-d82f-440c-bcce-763a2c17a56d,True,41061,1363.1955437586466,41061,1363.1955437586466,Woods Hole SPURS Wave Station,Woods Hole Oceanographic Institution,IOOS Partners,False,False,,[],,model_only,
collect:1a5c4466-239d-44d0-a966-a5af5f28aa2d,True,44078,8480.9403304848,44078,8480.9403304848,OOI Irminger Sea Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,False,False,,[],,model_only,
collect:24db4649-49b6-49a6-9fa4-6f36ae590281,True,48012,119.91672487247055,48012,119.91672487247055,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:2577c1be-4b3f-426e-abcc-7f373f55d6d0,True,52211,3421.252084657043,52211,3421.252084657043,"Tanapag, Saipan, NMI (197)",Pacific Islands Ocean Observing System,IOOS Partners,False,False,,[],,model_only,
collect:2783f2d1-f4bc-41a7-85cf-63e216ac4fd1,True,48012,119.93432705506393,48012,119.93432705506393,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:2e48d5c9-ffc2-4861-9cb5-664dcd1cb49f,True,44078,7807.94463112531,44078,7807.94463112531,OOI Irminger Sea Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,False,False,,[],,model_only,
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,True,42084,34.163957997103786,42094,13.079625482547238,"Southwest Pass Entrance W, LA (256)",SCRIPPS,IOOS Partners,True,True,https://thredds.cdip.ucsd.edu/thredds/catalog/cdip/archive,"[""42094"", ""42093"", ""42084""]",25.9,measured_complete,"RuntimeError(""request failed for https://dods.ndbc.noaa.gov/thredds/dodsC/data/swden/42093/42093w9999.nc.ascii?time: <HTTPError 404: '404'>"")"
collect:33c09b64-370c-4ac1-9779-7f834539695f,True,52211,2400.2879360192064,52211,2400.2879360192064,"Tanapag, Saipan, NMI (197)",Pacific Islands Ocean Observing System,IOOS Partners,False,False,,[],,model_only,
collect:3f321708-d62c-4401-bf71-c34faf325cdf,True,44078,8398.540399310814,44078,8398.540399310814,OOI Irminger Sea Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,False,False,,[],,model_only,
collect:43738326-ff99-4b30-a364-6b9c640eea3c,True,42003,535.3638499841364,42003,535.3638499841364,"East GULF - 208 NM West of Naples, FL",NDBC,NDBC Meteorological/Ocean,False,False,,[],,model_only,
collect:47f1b387-1c9f-4b3c-946c-d274ef7f4cef,True,48012,119.94684612629439,48012,119.94684612629439,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:48468a57-f4b6-43d4-b96e-7686eee6467e,True,48012,120.02143885393014,48012,120.02143885393014,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:683a3778-7ef1-4653-bd9b-1777367585d5,True,48012,119.52169409177955,48012,119.52169409177955,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:69a0eba5-0564-4a8f-8cb2-847b209c0936,True,52211,3421.1864826044484,52211,3421.1864826044484,"Tanapag, Saipan, NMI (197)",Pacific Islands Ocean Observing System,IOOS Partners,False,False,,[],,model_only,
collect:6d27e18e-e604-4d67-8b98-8cc535ecd272,True,48012,119.5817911926471,48012,119.5817911926471,Point Lay (UAF),"University of Alaska, Fairbanks",IOOS Partners,False,False,,[],,model_only,
collect:8c97aa40-beeb-4168-bbcd-6ff3720f987a,True,52212,2514.553298348119,52212,2514.553298348119,"Ngaraard, Babeldaob, Palau (219)",Pacific Islands Ocean Observing System,IOOS Partners,False,False,,[],,model_only,
